Headline,Date
CNG sedans gain popularity in India as consumers shift to cleaner fuels,Updated On :17 Nov 2024 | 10:48 PMISTPremium
"India to shift to 'smartphone era' for cars embracing 5G, AI: Report",Updated On :17 Nov 2024 | 3:23 PMIST
"Jaguar's luxury electric sedan undergoing road testing, debut on Dec 2",Updated On :16 Nov 2024 | 4:39 PMIST
"Festival season lifts retail auto sales by 12%, two-wheelers top demand",Updated On :15 Nov 2024 | 10:48 PMIST
Mercedes-Benz India to raise prices by up to 3% from 2025: CEO Santosh Iyer,Updated On :15 Nov 2024 | 4:09 PMIST
"Govt starts consultations for subsidy under PM E-DRIVE, e-truck adoption",Updated On :14 Nov 2024 | 10:26 PMIST
"Govt, semi-govt bodies need to scrap 13K 15-yr-old vehicles by Jan-end",Updated On :14 Nov 2024 | 10:21 PMIST
"Subsidy fuel running low, electric two-wheeler firms race against time",Updated On :13 Nov 2024 | 11:28 PMISTPremium
"Festive season stabilises PV sales, 2Ws jump 14%; over 393K vehicles sold",Updated On :13 Nov 2024 | 11:20 PMIST
"MG's Windsor sales in top gear, Tata Motors' EV monopoly under threat",Updated On :13 Nov 2024 | 11:18 PMIST
Mercedes takes India learnings on D2C retailing to global markets,Updated On :12 Nov 2024 | 8:55 PMIST
"LNG trucks in India: Pvt sector entry sparks change, but challenges remain",Updated On :11 Nov 2024 | 10:53 PMISTPremium
New Maruti Suzuki Dzire launches at Rs 6.79 lakhs; more details inside,Updated On :11 Nov 2024 | 4:08 PMIST
"Toyota to ramp up China production to bring sales, production more closer",Updated On :09 Nov 2024 | 5:07 PMIST
Auto Expo 2025 to be held under Bharat Mobility from Jan 17-22 at 3 places,Updated On :06 Nov 2024 | 11:22 PMIST
"Auto retail sales up 32% in Oct as 2W, PVs shine in festival season",Updated On :06 Nov 2024 | 10:56 PMIST
"Tremendous growth opportunity in India, Apac region: Zero Motorcycles CEO",Updated On :06 Nov 2024 | 9:31 PMIST
Hero MotoCorp to expand EV business with new affordable models lined up,Updated On :06 Nov 2024 | 6:43 PMIST
"Skoda Kylaq starting at Rs 7.89 Lakhs launched, deliveries to begin in Jan",Updated On :06 Nov 2024 | 3:33 PMIST
"Honda reports 15% drop in Q2 operating profit, misses analyst forecasts",Updated On :06 Nov 2024 | 10:45 AMIST
"Hero MotoCorp plans to enter Europe, UK markets in second half of 2025",Updated On :05 Nov 2024 | 11:51 PMIST
Royal Enfield enters a new era with launch of electric vehicle brand,Updated On :05 Nov 2024 | 12:08 AMIST
"Two-wheeler sales soar in October; TVS, Hero MotoCorp lead the charge",Updated On :04 Nov 2024 | 11:26 PMIST
Exide Industries Q2 result: PAT falls 13.66% to Rs 233.4 cr on higher costs,Updated On :04 Nov 2024 | 11:20 PMIST
US regulator ends investigation into Ford engine failures after recall,Updated On :04 Nov 2024 | 11:04 PMIST
"Suzuki Motor unveils first battery electric SUV, 'e Vitara' in Europe",Updated On :04 Nov 2024 | 10:23 PMIST
"Maruti Suzuki passenger car output falls 16%, utility vehicle rises 33%",Updated On :04 Nov 2024 | 2:20 PMIST
PV wholesale up by 2% in Oct; retail sales posts 20% rise on festive push,Updated On :01 Nov 2024 | 11:59 PMIST
SUV sales a bright spot in carmakers' October dispatches to dealers,Updated On :01 Nov 2024 | 4:05 PMIST
"Oct vehicles sale: Hyundai, JSW MG's sales up, Tata Motors' marginally down",Updated On :01 Nov 2024 | 3:30 PMIST
"Auto majors Maruti Suzuki, Mahindra report best-ever October sales",Updated On :01 Nov 2024 | 2:40 PMIST
Auto sales see mid-to-high single-digit growth during Navratras; rural lag,Updated On :31 Oct 2024 | 5:46 PMIST
EU to increase tariffs on Chinese EVs to protect its car industry: Report,Updated On :30 Oct 2024 | 10:24 PMIST
Electric scooter makers under lens over 12K after-sales service complaints,Updated On :30 Oct 2024 | 4:07 PMIST
"Maruti Suzuki, Tata Motors expecting record festive automobile sales",Updated On :29 Oct 2024 | 10:16 PMIST
Workers launch nationwide strike in Germany demanding higher wages,Updated On :29 Oct 2024 | 9:35 PMIST
BMW India consolidated net profit rises 52% to Rs 311 crore in FY24,Updated On :27 Oct 2024 | 11:42 PMIST
Mercedes pledges cost cuts after earnings halve; blames weak China demand,Updated On :25 Oct 2024 | 5:10 PMIST
"India's automobile exports rise 14% in Apr-Sept, led by PVs, two-wheelers",Updated On :20 Oct 2024 | 12:57 PMIST
Festive season motorcycle sales fall short of expectations: Bajaj Auto,Updated On :16 Oct 2024 | 10:02 PMIST
Servotech ties up with Ensmart Power to expand EV charger business in UK,Updated On :16 Oct 2024 | 6:10 PMIST
"Not price cut, but festive discounts: Ola Electric on ARAI notice",Updated On :16 Oct 2024 | 12:00 AMIST
"SUV makers hit with Rs 10,000 cr tax notices: Row over GST cess explained",Updated On :15 Oct 2024 | 3:34 PMIST
Passenger vehicle sales growth expected to be below 5% in FY25: Siam Prez,Updated On :15 Oct 2024 | 12:09 AMIST
Q2 result preview: 2Ws and 3Ws likely drivers of auto sector growth,Updated On :14 Oct 2024 | 11:29 PMISTPremium
"Despite exit, Ford gives a tough ride to peers in the used car market",Updated On :11 Oct 2024 | 6:58 PMISTPremium
Ratan Tata leaves an unfulfilled dream behind: The Nano electric vehicle,Updated On :11 Oct 2024 | 12:13 AMIST
"In EV penetration race, India's electric two-wheelers still in rearview",Updated On :09 Oct 2024 | 11:30 PMISTPremium
MHI seeks ARAI's comments on consumer grievances against Ola Electric,Updated On :09 Oct 2024 | 10:21 PMIST
"Uber's India based tech team helps cut down app localisation time, costs",Updated On :09 Oct 2024 | 1:09 PMIST
"CCPA showcause notice won't impact activities, says Ola Electric",Updated On :09 Oct 2024 | 12:40 AMIST
"1.1 mn old medium, heavy CVs offer good potential for scrappage: ICRA",Updated On :08 Oct 2024 | 6:23 PMIST
BYD hopes for ease in investment rules as it aims to build cars in India,Updated On :08 Oct 2024 | 5:41 PMIST
"Tata Motors reports 11% decline in global wholesales to 304,189 units in Q2",Updated On :08 Oct 2024 | 4:17 PMIST
"Passenger vehicle sales drops 19% in September, inventory hits record high",Updated On :07 Oct 2024 | 11:09 PMIST
Festival fillip: Car dealerships see four-fold increase in footfall,Updated On :06 Oct 2024 | 11:39 PMISTPremium
"Carmakers expect festive period to improve sales, overall buyer sentiment",Updated On :06 Oct 2024 | 12:09 PMIST
China's loss may be Indian companies' gain in electric vehicle race,Updated On :04 Oct 2024 | 11:50 PMISTPremium
BMW India targets to double electric vehicle penetration by next year,Updated On :04 Oct 2024 | 11:44 PMIST
Carmakers don't plan price changes to China-made EVs after EU backs tariffs,Updated On :04 Oct 2024 | 9:54 PMIST
"Nissan studies hybrid and CNG market in India, no immediate launch plans",Updated On :04 Oct 2024 | 8:50 PMIST
