headline,Date
UK's Integrals Power shipping EV battery materials to automakers for tests,2024-11-13
Battery swapping: A game changer for India’s commercial vehicles,2024-11-13
Indian auto parts maker Samvardhana Motherson misses Q2 profit estimates as car sales slow,2024-11-13
Honda recalls GL1800 Gold Wing motorcycles over engine issue,2024-11-12
"Minda Corp achieves highest quarterly revenue of INR 1,290 cr with a 8% Y-o-Y growth",2024-11-12
ACMA organises iAutoConnect 2024 to drive Indian auto component industry growth,2024-11-12
"Uno Minda reports 17% revenue growth to INR 4,245 cr in Q2 FY25",2024-11-12
Volkswagen investment chief steps down from Northvolt board,2024-11-12
Vulcan pushes back large-scale production date for German lithium plant to 2027,2024-11-12
"RSB Group eyes INR 10,000 crore turnover by 2030; plans acquisitions, IPO",2024-11-11
"Continental auto supplier cuts sales guidance, but shares rise on profit beat",2024-11-11
An American Tier1 supplier ramps up India bet with a USD 3.3 million investment,2024-11-09
LG Energy Solution secures 5-year deal to supply EV batteries to Rivian,2024-11-08
"Ahead of Rio Tinto buyout, Arcadium's profit dips on sliding lithium prices",2024-11-08
"Vedanta, HZL, three others bag 8 critical mineral blocks",2024-11-08
Ignyte Helmets launches 36 ECE 22.06 certified models in European market at EICMA 2024,2024-11-08
Albemarle loses more than USD 1 billion on falling lithium prices,2024-11-07
Sterling Tools partners with GLVAC to boost EV component manufacturing,2024-11-06
Sundram Fasteners reports consolidated Q2 profit of INR 143.84 cr,2024-11-06
"Exide Industries Q2 profit misses view on weak car demand, shares hit 5-mth low",2024-11-05
Amara Raja's Q2 profit rises on steady automotive demand,2024-11-05
Ducati unveils its lightest V2 engine,2024-11-04
"Nevada lithium mine will crush rare plant habitat US said is critical to its survival, says lawsuit",2024-11-04
Schneider Electric replaces CEO to accelerate strategy execution,2024-11-04
Magna cuts annual profit forecast on expectations of lower vehicle production,2024-11-02
Sona expects Escorts’ railway parts business to be accretive from the first year,2024-11-01
BorgWarner trims annual sales forecast on expectations of lower vehicle production,2024-11-01
Environmentalists sue over US approval of ioneer's Nevada lithium mine,2024-11-01
"Panasonic's battery unit Q2 operating profit rises 42%, keeps forecast",2024-11-01
"Bosch cuts revenue forecast for coming year, layoffs not ruled out",2024-10-31
ASK Automotive reports 63% increase in Q2 net profit amid strong two-wheeler market performance,2024-10-30
India needs to diversify its critical mineral sourcing strategy: Report,2024-10-29
US Energy Dept finalizes USD 2.26 billion loan for Lithium Americas' Nevada mine,2024-10-29
India needs to diversify its critical mineral sourcing strategy: Report,2024-10-29
Dimple Mehta steps down as Head of Service & Parts at Tata Motors,2024-10-29
Aluminium industry calls for higher import duties to boost self-sufficiency,2024-10-28
Australia's IGO swings to a loss on lithium downturn,2024-10-28
Tripura likely to extend 'Rubber Mission' for another 5 years,2024-10-28
Battery maker LGES offers measured 2025 outlook after slow EV demand drags down Q3 profit,2024-10-28
Indonesia bets on SE Asia's first battery plant to become EV hub,2024-10-27
MSMEs in city get VR-based training in energy efficiency,2024-10-26
"Honda to replace faulty fuel pumps in 90,468 old units of select models in India",2024-10-26
Huge US lithium mine gets govt approval: company,2024-10-25
Rane Madras sees 61% drop in standalone Q2 net,2024-10-25
Auto parts distributor LKQ cuts 2024 profit forecast on sluggish demand,2024-10-25
Argentina's lithium hunters scale back as EV shift slows,2024-10-25
Gujarat Fluorochem EV division secures INR 1k cr for expansion,2024-10-25
"Miners are razing forests to meet surging demand for metals and minerals, says report",2024-10-24
Japan's Nidec posts 10% rise in second-quarter operating profit,2024-10-24
Stellantis to launch fleet of EVs fitted with Factorial solid-state batteries,2024-10-24
"Atul Auto, Exide Energy Ink pact to explore collaboration in EV sector",2024-10-24
Sona Comstar Q2 consolidated PAT increases to 16% at INR 143.57 cr,2024-10-24
TI profit beats points to China automotive chip rebound as industrial weakness persists,2024-10-23
Auto parts companies riding high on premiumisation,2024-10-23
Remsons Industries acquires 51% stake in BEE Lighting to enhance automotive lighting solutions,2024-10-22
Mercedes opens electric car battery recycling plant,2024-10-22
Neolite ZKW launches eco-friendly manufacturing plant in Pune for automotive lighting,2024-10-22
India now wants to upgrade US pact on critical minerals,2024-10-21
Autoliv's profits meet expectations as outperforms global light vehicle market,2024-10-19
Chinese EV battery giant CATL reports jump in profits,2024-10-19
"Indonesia to export EV battery material to US next month, says minister",2024-10-18
Maxion Wheels to focus on cost control in new mobility era,2024-10-18
Serbian protestors rally to oppose Rio Tinto's lithium mine project,2024-10-18
"After Nevada lithium deal, GM eyes other sources for EV minerals supply",2024-10-18
Bharat Forge acquires AAM India Manufacturing for expansion in axle production,2024-10-17
"Eramet cuts 2024 output targets for mines, sending shares tumbling",2024-10-17
Serbian protestors rally to oppose Rio Tinto's lithium mine project,2024-10-17
Steelbird to showcase India-manufactured ECE 22.06 and DOT-certified helmets at EICMA 2024,2024-10-16
Servotech collaborates with UK-based Ensmart Power to expand EV charger business in the UK,2024-10-16
EV chipmaker Wolfspeed set to receive USD 750 million US chips grant,2024-10-16
"Auto component sector is a success story in global competitiveness due to its quality, says Piyush Goyal",2024-10-16
US startup Lyten to invest over USD 1 billion in Nevada lithium-sulfur battery factory,2024-10-16
"Freudenberg Group expands in India with new manufacturing facilities in Punjab, invests INR 385 crore",2024-10-16
LG Energy wins deals to supply EV batteries for Ford,2024-10-16
Setco Auto begins its climb back from the brink,2024-10-15
ChargeZone launches innovative Battery Passport System to give insight about battery's lifecycle information,2024-10-15
Crossbeats launches DC03 4K Car dashcam at INR 10k to enhance driver safety,2024-10-15
It’s OK to mine the rainforest for car batteries,2024-10-15
Kinetic Engineering to invest INR 30 cr in subsidiary Kinetic Watts and Volts,2024-10-14
Savannah CEO sees lithium price rebound by start of Portugal project,2024-10-12
"Northvolt in talks for about 200 million euros in funding, say sources",2024-10-12
How Iron Phosphate batteries can become a green alternative to traditional lithium-ion batteries,2024-10-12
"Bosch, Tenstorrent to collaborate on standardising automotive chips",2024-10-12
Battery maker Northvolt says it will be able to pay its upcoming taxes,2024-10-11
Hindustan Zinc ties up with IIT Madras to develop advanced zinc-air battery tech,2024-10-10
Maxvolt Energy doubles lithium battery production capacity amid festive sales surge,2024-10-10
Arcadium deal to vault Rio Tinto into lithium supplier big league,2024-10-10
Battery maker Northvolt says head of main plant to step down,2024-10-10
Sumitomo Metal forecasts widening global nickel supply surplus in 2025,2024-10-10
UrjaMobility secures INR 100 cr in Pre-Series A funding to transform e-mobility with innovative battery leas..,2024-10-09
Component Suppliers can now be Inspected under New EV Policy,2024-10-09
"Marelli accelerates India growth with focus on local supply chain, software-defined vehicles and electrifica..",2024-10-08
India’s auto component exports in the fast lane to growth,2024-10-08
LG Energy Solution to supply batteries to Mercedes-Benz affiliate in North America,2024-10-08
Northvolt subsidiary files for bankruptcy,2024-10-08
Rio Tinto looks to snap up Arcadium before lithium prices recover,2024-10-08
"Copper demand for electric vehicles is intact, says trader IXM",2024-10-08
Hero Motors withdraws DRHP for INR 900 crore IPO,2024-10-07
Rio Tinto eyes US lithium company takeover,2024-10-07
"Mercedes-Benz, Volkswagen to provide EV battery management information",2024-10-06
India-EU collaboration boosts EV battery recycling startups,2024-10-05
"Rio Tinto in talks to buy lithium miner Arcadium, say sources",2024-10-05
"Indian, EU startups fostering business collaboration in EV battery recycling",2024-10-05
Global sunroof companies look to ride the giant India wave,2024-10-05
"JSW MG looks to repurpose used EV batteries, eyes big with 'Select'",2024-10-05
Warivo Motor partners with Battery Smart for battery swapping technology,2024-10-04
Zimbabwe softens stance on local lithium processing after price collapse,2024-10-04
"Tesla plans four new batteries in 2026, including for robotaxi, The Information reports",2024-10-04
Asahi Kasei's breakthrough Electrolyte enhances Lithium-ion battery performance,2024-10-04
Simple Energy launches 8 year motor and battery warranty for electric scooters,2024-10-03
Ashok Leyland partners with Nidec to develop E-drive motors for commercial vehicles,2024-10-03
Chilean economy seen growing 2.7% in 2025 as mining recovers,2024-10-02
"Copper producer Aurubis to shun takeovers, rebuild trust, says new CEO",2024-10-02
Battery swapping and BaaS: Transforming EV adoption,2024-10-01
CVC-backed Moove Lubricants targets up to USD 1.9 bn valuation in US IPO,2024-10-01
Savannah Resources delays start of Portuguese lithium production to 2027,2024-10-01
NCDRC clarifies product liability law for vehicle safety,2024-10-01
Vidyut partners with JSW MG Motor India to launch BaaS for EVs,2024-09-30
