headline,Date
"Bosch Q2 revenue rises 6.4% to INR 4,394 crore on strong automotive sales",2024-11-12
Demand for ADAS surges amid growing road safety concerns in India,2024-11-12
Odisha startup launches fully autonomous logistics drone service,2024-11-11
MapmyIndia forms JV with Hyundai Autoever to expand Southeast Asian market,2024-11-09
IIT-I's innovative thermal management solution for EVs,2024-11-08
California agency boosts reporting requirements for autonomous vehicle incidents,2024-11-08
"AI-based system to check traffic violations, initially at 500 signals",2024-11-08
German auto supplier seeks US nod to deploy autonomous buses on US roads,2024-11-08
Epsilon and Daejoo collaborate to enhance EV battery performance with silicon-graphite composite,2024-11-08
Mahindra Tractors launches AI-powered virtual tractor drive to celebrate 60th anniversary,2024-11-06
FIX2024: Daegu's bold vision to transform into a global tech hub,2024-11-06
Tessolve acquires Dream Chip Technologies at INR 400 crore,2024-11-06
"Hero Electronix, backed by Suman Kant Munjal, plans to sell 30% stake in chip design firm Tessove",2024-11-05
FIX 2024 hosts ‘Global Media Pick TOP3 Awards’ for 33 best innovators,2024-11-05
FIX 2024 showcases advanced technology innovations and opportunities worth USD 1.945 bn,2024-11-05
China's DeepRoute.ai raises USD 100 mln as smart driving adoption speeds up,2024-11-04
Cyborgs & hyperloops: The wait continues,2024-11-02
Hyundai Motor unveils new hydrogen-based EV concept,2024-11-01
European car safety agency snubs BYD's Atto 3 driver assistance system,2024-10-30
India's EV pioneer Maini Group ventures into autonomous tech with SiMa.ai partnership,2024-10-29
Mexico warns US ban on Chinese car tech could hurt automotive industry,2024-10-29
"‘More than the looks, tech will be the key puller for EVs’",2024-10-28
"For new-age car buyers, connected features become a driving factor",2024-10-28
ACMA Mobility Foundation partners with Fraunhofer for advanced R&D in auto component industry,2024-10-26
Alphabet's Waymo closes USD 5.6 bn funding to expand autonomous ride-hailing service,2024-10-26
Chinese self-driving firm WeRide raises USD 120 mn in US IPO,2024-10-26
Plan in the works to fund R&D for electric vehicle subsystems,2024-10-26
"What would you prefer a car like, a laptop/mobile, or a DVD player",2024-10-25
"India right place for software defined vehicles, says PTC top official",2024-10-25
Ola Electric launches digital twin platform to transform EV manufacturing,2024-10-25
"Govt proposes use of AI, innovative tech to check traffic violations: Gadkari",2024-10-25
Hydrogen: The missing piece in India’s clean mobility revolution,2024-10-24
Jaguar Land Rover expands global innovation network; launches hub in India,2024-10-24
"India to create roadmap after achieving 20% ethanol blending target, says Hardeep Singh Puri at G-STIC confe..",2024-10-24
"KPIT posts 44.7% YoY PAT growth for Q2 FY25, marking 17th consecutive growth quarter",2024-10-24
"Qualcomm, Alphabet team up for automotive AI; Mercedes inks chip deal",2024-10-23
Flying air taxis move closer to US takeoff with issuing of FAA rule,2024-10-23
