headline,Date
Push for EV-only public transport in Mangaluru to cut pollution,2024-11-13
Battery swapping: A game changer for India’s commercial vehicles,2024-11-13
"EV charging facility now available at every fifth petrol pump, but only 20% are fast chargers",2024-11-13
"Hatchbacks and sedans continue to shrink as Hyundai races ahead with SUVs, banks on Creta EV as game changer",2024-11-12
Constant innovation is the key to accelerate EV adoption,2024-11-12
"Flipkart deployed over 10,000 electric vehicles in delivery fleet",2024-11-12
Ola Electric moves ahead with bold expansion plans despite customer service challenges,2024-11-11
"5,000 E-cars for govt sector: Union minister Manohar Lal launches CESL's 'EV as a Service' programme",2024-11-11
Govt takes second shot at hardselling EV policy,2024-11-11
"Hybrids, CNG cars lead but EVs bet on new models",2024-11-10
Ola Electric's loss narrows to INR 495cr in July-Sept,2024-11-09
"Post pandemic recovery, Force Motors embarks on overseas play, and EV journey",2024-11-07
Honda unveils EV concepts and innovative engine technology at EICMA 2024,2024-11-07
"This electric motorcycle startup leverages LFP batteries for safer, more affordable rides",2024-11-07
Debunking Myths: The game changing benefits of EVs,2024-11-07
"Zero Motorcycles eyes India market with premium electric bikes, backed by Hero MotoCorp partnership",2024-11-07
"Ultraviolette launches F77 MACH 2, unveils F99 racing platform and showcases Concept X motorcycle at EICMA 2..",2024-11-07
"India not a 'top priority' market for Enfield's first electric motorcycle, Flying Flea C6",2024-11-06
"Bajaj coming with 'refreshed, upgraded' Chetak in a bid for leadership in electric two wheeler market",2024-11-05
Volkswagen's EV Woes: From 'das auto' to 'drive digger' and the road ahead,2024-11-05
Suzuki introduces e Vitara based on eVX concept model; production to begin from 2025,2024-11-04
Mahindra to unveil electric SUVs XEV 9e and BE 6e on November 26,2024-11-04
Electric two-wheeler sales grew 85% in October,2024-11-04
Asia to spend over USD 20bn on EVs: Report,2024-11-02
"Oben Electric to launch daily commuter e-bike, Rorr EZ on November 7",2024-11-01
Europe imposes higher tariffs on electric vehicles made in China,2024-10-31
"BLive EZY deploys 1,000 premium EVs to cater to festive demand",2024-10-31
"Ola Electric boosts service capacity by 30%; adds over 50 centres, 500 technicians",2024-10-31
How OEMS can invest in their recycling partners to build larger capacities,2024-10-30
Honda gears up for launch of ‘India-specific’ electric two-wheeler,2024-10-30
TVS wrests back second spot from Bajaj in electric two wheelers,2024-10-29
85 % of Indian buyers are interested in premium models: Report,2024-10-29
"MHI proposes INR 10,000/kWh subsidy for e-Medium and Heavy trucks, seeks industry feedback",2024-10-28
"Servotech bets on EV charger production, new solar products to strengthen energy biz",2024-10-28
"‘More than the looks, tech will be the key puller for EVs’",2024-10-28
The untapped potential of workplace charging,2024-10-28
"Consumers exploring both luxury, sustainable mobility alternatives: Survey",2024-10-28
Indonesia bets on SE Asia's first battery plant to become EV hub,2024-10-27
JSW MG Motor India delivers 101 Windsor CUVs,2024-10-27
"UAE corporates publish declaration to adopt, promote electric vehicle ecosystem",2024-10-26
Plan in the works to fund R&D for electric vehicle subsystems,2024-10-26
"VW's Scout Motors unit will offer EV SUVs, trucks with gas engine option",2024-10-25
Tesla rallies most in over a decade on Musk's bold EV forecast,2024-10-25
"Will a once bitten, twice shy India allow new Chinese EV investments?",2024-10-25
Ashok Leyland secures order from Chennai MTC for 500 e-buses,2024-10-25
Gujarat Fluorochem EV division secures INR 1k cr for expansion,2024-10-25
ARC Electric partners with Aon plc for sustainable employee transportation solutions,2024-10-24
"Rapido partners with IndoFast Energy to deploy 10,000 swappable Piaggio EVs across India",2024-10-23
"Yulu plans global ride with Bajaj, India remains top priority",2024-10-23
Driving the future: Anand Kulkarni on how Tata Motors is revolutionising EV technology and user experience,2024-10-23
India set to drive in new leadership opportunities with EVs,2024-10-23
Pioneering sustainable materials in electric vehicle design,2024-10-22
EV Recharge partners with ZEVO for mobile EV charging solutions,2024-10-22
Mercedes opens electric car battery recycling plant,2024-10-22
Audio Interview: Lithium-ion battery value chain in Europe,2024-10-22
Resolved 99.1% of complaints received from customers: Ola Electric,2024-10-22
Eurogrip to roll out next generation fuel efficient tyres for EVs,2024-10-19
AutoNxt begins sales of India's first e-tractor for sustainable agriculture,2024-10-19
IIT Bhubaneswar to offer certificate course on EV Tech,2024-10-19
Monetising customer data in EV charging is redefining India's automotive future,2024-10-18
"South Africa mulls tax rebates, subsidies to boost local EV industry",2024-10-18
When Apple joined hands with China's BYD to create a Tesla killer,2024-10-18
Bengaluru airport partners with Sarla Aviation to launch electric flying taxis,2024-10-18
"Exclusive: Ratan Tata founded EV startup embarks on SDV tech journey, appoints an Ola Electric Director to h..",2024-10-16
Tsuyo launches India's first indigenous EV powertrain production line for commercial vehicles,2024-10-16
Tata Motors partners with HSBC India to enhance dealer financing for passenger and electric vehicles,2024-10-16
"Electric car sales have slumped, misinformation is one of the reasons",2024-10-16
"China's Zeekr launches EV in Australia, eyes New Zealand next",2024-10-16
BYD tells EU to 'stay away' from tariffs as it expands European supply chain,2024-10-16
"85 million EVs expected on roads globally by 2025, India to see 5 lakh EVs",2024-10-16
"Under fire, Ola Electric taps EY India to get back on track",2024-10-16
"Ola Electric responds to ARAI notice, says prices of S1 X 2 kWh scooter unchanged",2024-10-16
ChargeZone launches innovative Battery Passport System to give insight about battery's lifecycle information,2024-10-15
"Global EV sales up 30.5% in September as China shines, Europe recuperates",2024-10-15
Hero Electric seeks to settle subsidy misappropriation case with Centre,2024-10-15
"Raptee.HV targets revenue of INR 200 cr in CY2025, launches country's first high voltage e-motorcycle",2024-10-14
LeafyBus partners with AMU to launch electric bus fleet for sustainable inter-city travel,2024-10-14
Will explore electric vehicle export opportunities: Hyundai Motor India,2024-10-13
Honda may alter its EV roadmap if demand for Battery Electric Vehicles continues to slow down,2024-10-12
"‘Delhi has over 3L EVs, but only 3,100 charging stations’",2024-10-11
"Driving EV: Smart for your wallet, Safe for your environment",2024-10-10
Slow charge point rollout risks stalling US EV sales momentum: Maguire,2024-10-10
UrjaMobility secures INR 100 cr in Pre-Series A funding to transform e-mobility with innovative battery leas..,2024-10-09
"BYD not looking to localise in India, continue to rely on imports",2024-10-09
Component Suppliers can now be Inspected under New EV Policy,2024-10-09
Flextron launches rapid charging technology FlexStack for 2Ws,2024-10-08
LG Energy Solution to supply batteries to Mercedes-Benz affiliate in North America,2024-10-08
"Electric Car subsidies are a plus, but could be improved, study finds",2024-10-08
Ola Electric slapped with show cause notice over consumer complaints and service deficiencies,2024-10-07
Fleet utilisation hits new high amid pre-festive demand,2024-10-07
Industry eyes electric tractor adoption amid mounting challenges,2024-10-07
Exicom acquires US EV charging company Tritium for INR 310 cr,2024-10-07
India-EU collaboration boosts EV battery recycling startups,2024-10-05
"JSW MG looks to repurpose used EV batteries, eyes big with 'Select'",2024-10-05
New plan to subsidise charging stations for 2 and 3-wheelers,2024-10-04
"1 in 3 car buyers in South India likely to buy an electric vehicle, claims survey",2024-10-03
Ashok Leyland partners with Nidec to develop E-drive motors for commercial vehicles,2024-10-03
Accelerating EV adoption key to improving air quality,2024-10-03
India's EV market rises 23% in September with 1.59 lakh unit sales,2024-10-03
