headline,Date
Two-wheelers lead festive auto sales; passenger vehicles and three-wheelers show stability,2024-11-13
Hertz posts wider-than-expected loss due to high depreciation costs,2024-11-13
Auto supplier OPmobility aims to double US sales by 2028,2024-11-13
German union says auto and engineering workers to get 5.5% wage rise,2024-11-13
Mild relief for rupee on slight recovery in Asia before US inflation data,2024-11-13
"EV charging facility now available at every fifth petrol pump, but only 20% are fast chargers",2024-11-13
IAC urges for Auto LPG adoption amid Delhi-NCR's pollution crisis,2024-11-12
TVS Supply Chain Solutions reports INR 10.6 crore PAT in Q2 FY25,2024-11-12
Constant innovation is the key to accelerate EV adoption,2024-11-12
Saju Mookken takes charge as Marelli's India Country Manager to drive growth in automotive sector,2024-11-12
"All-time low beckons for rupee on slide in yuan, rally in dollar index",2024-11-12
EU Sees 'Slim' Chance of Success in EV Tariff Negotiations with China,2024-11-12
"GRAP-II on since Oct 22, AQI stays in upper end of 'v poor' at most hotspots",2024-11-12
What a new Trump regime will mean for India’s auto industry,2024-11-11
"Kerala to set up 2,000 EV charging stations by 2030 in partnership with ESYGO",2024-11-11
New green steel firms could reap rewards as EU carbon tariffs loom,2024-11-11
MCD's e-vehicle push in low gear,2024-11-11
Rupee may slip to record low as worries over Trump win weigh on Asia FX,2024-11-11
By and for citizens: 10k complaints filed on traffic police’s relaunched app so far,2024-11-11
Govt takes second shot at hardselling EV policy,2024-11-11
"End of EV subsidies, more industry tariffs may be on the cards under Trump: Report",2024-11-10
India's steel exports clock double digit growth in October,2024-11-10
CAQM for intensified actions to remove highly polluting vehicles in Delhi,2024-11-10
India's coal import rises 8% to 140.60 MT in Apr-Sept,2024-11-10
"China, Indonesia enhance ties with key deals on lithium, green energy, tourism",2024-11-10
Air pollution: Centre's air quality panel criticises growing backlog of complaints in Delhi,2024-11-10
Auto companies embrace premium retail formats to tap into India's luxury market,2024-11-09
"Rupee weakens to record low, logs worst week in five months",2024-11-09
"India’s push for green hydrogen: TERI policy brief calls for pilot projects, subsidies, and SPVs",2024-11-09
Tata Motors eyes strong H2 for JLR; keeps close watch on November PV demand,2024-11-09
"Tata Motors reports 9.9% decline in Q2 net profit, eyes recovery in H2 amid inventory and supply challenges",2024-11-08
India's climate policies expected to reduce CO2 emissions by around 4 billion tonnes by 2030: Report,2024-11-08
What is fuelling M&M’s growth even as the auto sector is slowing down? Anish Shah explains,2024-11-08
"Japanese automaker Nissan cuts 9,000 jobs as its vehicles fail to sell",2024-11-08
