headline,Date
"Indian Oil aims to finish expansion of Panipat, Gujarat, Barauni refineries by Dec 2025",2024-11-13
"Biofuel blending on track, saved INR 91K cr on import bills: Puri",2024-11-13
US oil industry urges Trump to ditch Biden climate policies,2024-11-13
Oil prices hold their ground after falling on China stimulus,2024-11-12
India’s exports of fuel to EU jump 58%,2024-11-11
Global oil prices would have hit the roof if India had not bought oil from Russia: Union Minister Hardeep Pu..,2024-11-09
Oil prices fall as Hurricane Rafael expected to start weakening,2024-11-08
Oil prices regain ground as investors eye U.S. election fallout,2024-11-07
Oil prices fall on stronger dollar as polls start closing in US election,2024-11-06
Oil prices to remain stable in India with various crude supply options: Union Minister Hardeep Puri,2024-11-05
Oil prices to remain stable in India with various crude supply options: Union Minister Hardeep Puri,2024-11-05
TotalEnergies sees global oil demand peaking after 2030,2024-11-05
Diesel market flashes warning sign in India as growth slows,2024-11-05
"With Oil prices weak, OPEC+ postpones increases again",2024-11-05
OPEC extends its oil output cuts by one month until the end of December,2024-11-04
ONGC draws a blank on offer of stake in Deen Dayal gas field,2024-11-03
"Sales of Petrol, ATF jump 8.5% in Oct; Diesel sales stagnate",2024-11-02
"Petrol, jet fuel, LPG sales surge as economy picks up pace",2024-11-02
Castrol India appoints Kedar Lele as Managing Director to drive growth and innovation,2024-10-30
"Oil cos hike dealer commission; no change in petrol, diesel price",2024-10-30
Indian Oil's Q2 profit slumps on lower marketing margins,2024-10-29
Oil slumps more than 4% after Iran downplays Israeli strikes,2024-10-29
"As crude fades, Big Oil must borrow to pay investors",2024-10-28
Oil slumps more than 4% after Iran downplays Israeli strikes,2024-10-28
Report details fossil fuel threat to 'Amazon of the seas',2024-10-27
Oil prices likely to fall after Israel shows restraint in strikes on Iran,2024-10-27
"ONGC head should be chairman of subsidiary HPCL, says synergy panel",2024-10-27
"India's oil demand may revive amid festivals and elections, shows S&P Global Commodity Insights",2024-10-26
HPCL Q2 profit declines 88%,2024-10-26
"BPCL profit slips 72% to INR 2,397 cr in Q3",2024-10-26
Bharat Petroleum's Q2 profit slumps on lower marketing margins,2024-10-26
Asia fuel oil margins soar tracking strength in Europe market,2024-10-25
"Oil prices edge higher, on track for 3% weekly gain",2024-10-24
"&quot;No shortage of oil in world and prices should hopefully come down&quot;, says Hardeep Singh Puri",2024-10-22
"Oil prices trim Middle East war risk-gains, China demand remains a worry",2024-10-22
"ONGC, BPCL eye international partner for new refineries",2024-10-21
Saudi Aramco CEO 'fairly bullish' on China oil demand,2024-10-21
"Continued selling by FPIs negatively impacted oil, gas and auto sectors",2024-10-21
Oil prices steady after 7% weekly drop,2024-10-21
Egypt increases fuel prices by 10% to 17%,2024-10-18
Mizoram govt not to go back on its decision of hiking fuel prices: CM,2024-10-18
"Oil edges up, but on track for biggest weekly loss in over a month",2024-10-18
Oil and gas import bill rises 20% to USD 69b in H1 of FY25,2024-10-17
Oil inches up after surprise drop in US crude stockpiles,2024-10-17
"Shift toward EVs, particularly in China, could disrupt global oil market, says energy report",2024-10-16
Oil steadies after sharp falls as Middle East uncertainty persists,2024-10-16
"Oil prices drop on easing fears over Middle East, most markets rise",2024-10-15
Govt begins talks on developing ethanol roadmap beyond 20% blending: Oil Minister,2024-10-14
Oil consumption continues to fall in Sept,2024-10-11
Oil prices rise on Israel-Iran conflict fears and U.S. storm,2024-10-10
Indian auto LPG coalition appeals for level playing field for auto LPG,2024-10-09
Oil prices steady after sliding on potential Israel-Hezbollah ceasefire,2024-10-09
"India prepared to handle oil supply hit from Middle East conflict, says oil minister",2024-10-08
"BP drops oil output target in strategy reset, say sources",2024-10-07
Oil pares gains after strongest weekly rise in over a year,2024-10-07
US drillers cut oil and gas rigs for third week in a row - Baker Hughes,2024-10-05
"Oil settles up, biggest weekly gains in over a year on Middle East war risk",2024-10-05
BPCL and Mumbai Port Authority to launch India's first green fuel ecosystem,2024-10-03
Oil prices rise on escalating attacks in the Middle East,2024-10-03
"Fuel consumption in India: Diesel drops, while ATF and petrol rise in September",2024-10-03
"Petrol sales rises 2.8% in September, diesel drops 2%",2024-10-02
Oil little changed as demand worries offset Mideast fears,2024-10-01
Oil companies making INR 15/ltr profit on petrol even as consumers await big price cuts,2024-09-30
India's oil-product exports soar amid refinery shutdowns in Europe,2024-09-30
India to boost crude oil refining capacity by 35-40 MT by Fiscal 2030: CRISIL Ratings,2024-09-30
Oil prices rise on Middle East supply risks as Israel steps up attacks,2024-09-30
Indian Oil flags off bids for third time for green hydrogen plant at Panipat,2024-09-29
"Hardeep Singh Puri calls to build consensus over bringing petrol, diesel under GST",2024-09-28
Puri: Expect US crude oil to hit markets after country’s election,2024-09-28
Low oil prices bright spot for Indian economy? Why is Finance Ministry feeling positive about recent reducti..,2024-09-27
Oil prices slide 3% on prospect of more OPEC+ oil,2024-09-27
"Headroom to cut petrol, diesel prices by INR 2-3/ltr: ICRA",2024-09-26
Oil prices little changed as US stockpile drop offsets global demand woes,2024-09-26
"Revenue over relief? Govt has room to cut customers some slack over oil prices, or choose to swell its own p..",2024-09-25
Oil demand growth falls 45% till August,2024-09-25
"Oil prices steady as China stimulus hopes fade, U.S. crude stockpiles fall",2024-09-25
"Oil prices rise on concerns of wider Middle East conflict, US storm",2024-09-24
"Oil edges up following US rate cut move, geopolitical concerns",2024-09-23
Oil ends week higher as investors take stock of Fed rate cuts,2024-09-21
"Decreased oil exports, because of lower crude prices increasing India's trade deficit: CRISIL",2024-09-20
