headline,Date
Vietnam EV maker VinFast to get USD 3.5 bn in new funding,2024-11-13
Brits can’t buy new Jaguars for over a year as Tatas revv up all-electric plans,2024-11-13
Mercedes takes India learnings on direct-to-consumer retailing to global markets,2024-11-13
"Hatchbacks and sedans continue to shrink as Hyundai races ahead with SUVs, banks on Creta EV as game changer",2024-11-12
Hyundai Motor India net profit declines 15.5% to INR 1375 crore in Q2 FY25,2024-11-12
Mercedes-Benz launches AMG C 63 S E Performance in India at INR 1.95 crore,2024-11-12
US opens probe into 1.4 million Honda vehicles over engine issues,2024-11-12
"A lot more needs to be done to educate Indians on road safety, says Maruti Suzuki MD",2024-11-12
"Lexus India reports 43% sales surge in October, driven by festive demand",2024-11-12
Tesla stock extends rally as Musk-Trump alliance fuels gains,2024-11-12
"Maruti Suzuki bets big on private buyers with new Dzire, invests INR 1000 crore",2024-11-12
Maruti's entry hatchbacks make festive comeback as SUVs and EV plans drive growth,2024-11-11
"Kia India unveils the name of Kia 2.0 SUV, 'Syros'",2024-11-11
Maruti Suzuki launches 4th generation Dzire at an introductory price of INR 6.79 lakh,2024-11-11
"Honda reveals third-generation Amaze design sketches, introducing a bold and elegant new style",2024-11-11
Honda's new electric vehicle is quietly creeping up on Tesla,2024-11-11
"Stellantis, partner Leapmotor scrap plan to make second EV model in Poland, sources say",2024-11-11
Toyota said to ramp up China production in a strategy pivot,2024-11-11
"5,000 E-cars for govt sector: Union minister Manohar Lal launches CESL's 'EV as a Service' programme",2024-11-11
Toyota aims to ramp up China production in a strategy pivot,2024-11-10
"Hybrids, CNG cars lead but EVs bet on new models",2024-11-10
Stellantis set to again halt production at Italy's Mirafiori plant,2024-11-09
Tesla to lease Cybertruck starting at USD 999/month,2024-11-09
Tesla hits USD 1 trillion MCap,2024-11-09
New Maruti Suzuki Dzire secures 5-Star Global NCAP safety rating,2024-11-08
"Bentley to launch SUV EV in 2026, extend sales of plug-in hybrids to 2035",2024-11-08
China's car sales jump in October as automakers rush to meet annual goals,2024-11-08
GM ending production of Cadillac XT4 SUV as it shifts to electric vehicles,2024-11-08
"With Kylaq, Skoda Auto eyes larger global role for India",2024-11-08
Audi unveils new EV brand in China without four ring logo,2024-11-08
"Lucid beats revenue estimates, reaffirms annual production",2024-11-08
What is behind M&M’s bullish growth prospects for FY25?,2024-11-08
Maruti Suzuki announces Sidharth Malhotra as brand ambassador for new Dzire,2024-11-07
Mitsubishi Motors acquires 10% stake from Nissan to boost shareholder returns,2024-11-07
"Stellantis to lay off 1,100 workers at Ohio Jeep plant",2024-11-07
Mercedes improved pollution management at plant after failing checks,2024-11-07
Tesla's stock jumps 15% after Trump's victory,2024-11-07
ICE technology will be good for the next 10 years: Skoda Auto,2024-11-06
Lamborghini reports record-breaking performance in 2024 amidst transformative hybridisation and new model la..,2024-11-06
Maruti Suzuki looks to boost exports with upcoming new Dzire sedan,2024-11-06
Skoda Kylaq price starts at INR 7.89 lakh; bookings open on Dec 2,2024-11-06
Kia India unveils sketches of first SUV under its Kia 2.0 strategy,2024-11-06
Car sales surge 32.4% Y-o-Y in October amid festive demand and SUV popularity,2024-11-06
