Headline,Date
"Mahindra BE 6e, XEV 9e launch timeline revealed",2024-11-08
This tractor maker clocked its best-ever monthly sales in October,2024-11-07
Hyundai fends off Mahindra challenge in October as Tata beaten again,2024-11-01
"No festive cheer for Maruti as sales fall in October, compact segment hit hard, UV shines",2024-11-01
Mahindra records highest-ever SUV sales in October,2024-11-01
This Japanese 2W maker has achieved 50 lakh sales in Karnataka,2024-10-28
"Renault Nissan Automotive India reaches 4.5 million engine, gearbox production mark",2024-10-28
Mahindra opens 2 new facilities in Tamil Nadu for testing SUV safety and cell technology research,2024-10-24
Ola Electric introduces Ola Digital Twin platform integrated with NVIDIA Omniverse,2024-10-24
This OEM has bagged order for 500 e-buses from MTC Chennai,2024-10-24
"Uber Auto, Moto services to support economic activity of Rs 36,000 crore in 2024",2024-10-23
"Resolved 99.1% of complaints, says Ola Electric on consumer panel notice",2024-10-22
"This brand has won 1,000 bus chassis order from UPSRTC",2024-10-21
Ola clarifies on BOSS discounts,2024-10-17
Kia to launch 2 new affordable EVs by 2026,2024-10-17
This carmaker has made accessory from recycled GPGP plastic,2024-10-16
"Mahindra Arjun 605 DI 4WD tractor launched, aimed at North Indian markets",2024-10-15
Ratan Tata – A tribute to the man,2024-10-10
"Ratan Tata said: ""A promise is a promise""",2024-10-10
The BYD eMAX 7 electric MPV launched: Takes on the Toyota Innova Crysta,2024-10-08
Hyundai reaches 100 million vehicle production milestone globally,2024-09-30
Tata Motors conducts groundbreaking ceremony of new Tamil Nadu manufacturing unit,2024-09-28
"Anant Ambani, bp CEO inaugurate Jio-bp's 500th EV charging station at Jio World Centre",2024-09-27
This Indian firm to set up Rs 251 crore battery materials processing facility in USA,2024-09-26
BMW CE02 revealed: A quirky little electric city commuter,2024-09-25
This EV maker has partnered with Skyline Motors to deploy e-buses in Uttarakhand,2024-09-18
Mahindra looks to strengthen leadership position in LCV segment with new Veero,2024-09-18
"2024 Hyundai Alcazar first drive, review: More luxury, better value",2024-09-18
Ford to restart manufacturing in India for export markets,2024-09-13
"PM E-DRIVE, PM-eBus Sewa-PSM schemes to support 52,028 electric buses with Rs 7,826 crore outlay",2024-09-13
First Mahindra Thar Roxx to be auctioned for charitable cause,2024-09-12
"PM E-DRIVE scheme launched, Rs 10,900 crore outlay",2024-09-12
"This top tractor-maker has showcased first compressed biogas-powered model. Not Sonalika, TAFE, John Deere",2024-09-03
"No BMW, no Mercedes, billionaire Anand Mahindra drives this big, bold Mahindra SUV",2024-09-02
"Maruti, Hyundai, Tata, Mahindra, Kia, others to extend discounts under Vehicle Scrapping Policy",2024-08-29
"This company incentivises new truck, bus purchases under Vehicle Scrappage Policy. Not Tata, Mahindra",2024-08-29
"This Japanese carmaker has inaugurated 500th premium outlet in India. Not Toyota, Honda, Nissan",2024-08-23
"This carmaker adds 7 new dealerships in Kerala. Not Mahindra, Honda, Toyota, MG",2024-08-21
"This top carmaker to set up hydrogen innovation centre in Tamil Nadu. Not Maruti, Tata, Mahindra, Kia",2024-08-21
"This CV maker has inaugurated new mechatronics lab. Not Tata, not Mahindra, not even Ashok Leyland",2024-08-19
Have you downloaded the latest issue of AUTO TODAY magazine yet?,2024-08-12
"Cars24 expands app-based services, introduces 'Orbit' car management system",2024-08-12
Range Rover Sport SV Edition Two debuts. Check details here,2024-08-08
"Bajaj Chetak 3201 special edition launched exclusively on Amazon, priced at Rs 1,28,744",2024-08-06
This Made-in-India Japanese scooter is gaining popularity in Europe,2024-08-05
"Robust demand continues for Mahindra SUVs. Scorpio, XUV 3XO, XUV700 major drivers",2024-07-31
Yezdi Adventure gets an upgrade. Prices have dropped too,2024-07-31
"2,700,000 units sold in 9 years, meet India's fastest-growing auto retail channel. Not Tata, Mahindra, Kia",2024-07-30
"This carmaker partners with Charge Zone to install high speed chargers at dealerships, Not Tata, Mahindra, MG",2024-07-24
"This tractor maker has reached 700,000 production milestone, it's not Mahindra, Sonalika, Swaraj",2024-07-22
"New electric LCV enters market, 1250kg payload capacity, 140km range. Not Tata, Mahindra model",2024-07-18
Have you downloaded the latest issue of AUTO TODAY magazine yet?,2024-07-16
"Confirmed 5 car, motorcycle launches till August 15",2024-07-16
"This company has got 2,104 fully built bus order from MSRTC, not Tata, Mahindra, Volvo",2024-07-15
"Another CNG 2W entering market. It is a scooter, but not Activa, Access or Ntorq",2024-07-11
Mahindra on hybrid: Firmly believe that it is an interim and costly solution,2024-07-10
"Brezza, Baleno, Swift, other Maruti cars to now have 3-year/1,00,000km standard warranty",2024-07-09
"Buying a hybrid Maruti, Toyota, Honda car in Uttar Pradesh? Save in lakhs as registration fee waived",2024-07-08
Hyundai Motor India Foundation onboards 20 para-athletes under Samarth Para-Sports programme,2024-07-08
"Not Hyundai, Tata or Mahindra, but this company has dispatched 2 million vehicles via Indian Railways",2024-07-08
"Bajaj CNG bike, likely to called Freedom 125, launch in India today",2024-07-05
SUVs continue to dominate car sales with 5 in top 10 in June,2024-07-03
"BMW clocks highest-ever half-yearly car sales in India, crosses 2,000 electric car sales",2024-07-02
Monsoon car safety advisory: Driving in rainy season? Precautions to be taken,2024-07-02
"Sonet drives Kia sales in June, carmaker reports 10% growth",2024-07-01
2024 BMW 5 Series LWB for India – first look,2024-06-29
"This Indian EV maker to set up new plant in Maharashtra, already has two in Tamil Nadu",2024-06-28
Royal Enfield Guerrilla 450 teased,2024-06-28
BMW announces monsoon service campaign,2024-06-28
Meet a luxury carmaker that is on a mission to convert kilometres into trees,2024-06-27
Michelin X Multi Energy Z+ truck and bus tyre launched,2024-06-27
"This 3-row SUV has reached 200,000 units sales mark in under 3 years. Not Tata Safari, MG Hector Plus",2024-06-27
Hyundai Inster EV makes global debut,2024-06-27
Four new energy storage products to be launched at IESW 2024,2024-06-26
"Fully built 50,000th bus rolls out from this company's MP plant. Not Tata or Mahindra",2024-06-26
"This Indian auto giant sets up plant in Brazil, selling in 100 countries now, not Hero or Royal Enfield",2024-06-26
"Toyota Urban Cruiser Taisor review, first drive",2024-06-26
"Maruti, Hyundai, Tata-rival announces ownership service camp for its Ertiga, Creta, Nexon opponents",2024-06-25
"Hero motorcycles, scooters to get expensive from July 1, select models to witness price hike",2024-06-24
Have you downloaded the latest issue of AUTO TODAY magazine yet?,2024-06-23
"Ola announces offers up to Rs 15,000 on S1 portfolio",2024-06-21
"Not Tata, Hyundai or Toyota but this carmaker is aiming to sell 600,000 CNG cars in FY25",2024-06-21
"Meet India's most fuel-efficient CV tyre, saves up to 15% fuel",2024-06-20
Indian auto industry grew 19% to Rs 10.2 lakh crore in FY24,2024-06-19
"India's biggest IPO till date? This carmaker could give Maruti, Tata, Mahindra a run for their money",2024-06-15
