Headline,Date & Time
Maruti Suzuki joins rivals in safety race: Dzire aces crash test with 5-stars,"Updated: 11 Nov 2024, 07:25 PM IST"
"Maruti Suzuki Swift Dzire 2024 launched in India, price starts at Rs. 6.79 lakh","Updated: 11 Nov 2024, 02:02 PM IST"
Electric 3-wheeler subsidies for FY25 halt as sales hit cap,"Updated: 11 Nov 2024, 05:00 AM IST"
"Tata Motors sees Q2 profit fall on weak JLR, domestic auto sales","Updated: 08 Nov 2024, 09:36 PM IST"
"Kia Clavis teaser suggests bold, RV-inspired design for the Indian market","Updated: 07 Nov 2024, 11:12 PM IST"
"M&M raises tractor growth forecast, maintains SUV sales optimism","Updated: 07 Nov 2024, 10:13 PM IST"
Mahindra's XEV 9e and BE 6e Electric SUVs set for debut in 2024-25: Details,"Updated: 07 Nov 2024, 06:51 PM IST"
2024 Maruti Suzuki set to launch sleek fourth-gen Dzire on Nov 11: Details,"Updated: 06 Nov 2024, 09:12 PM IST"
"Skoda Kylaq SUV launched in India: Check price, features and more","Updated: 06 Nov 2024, 03:27 PM IST"
From Skoda Kylaq to Maruti Suzuki Dzire: Upcoming car launches in November 2024,"Updated: 05 Nov 2024, 11:02 PM IST"
"Royal Enfield Interceptor Bear 650 launched in India: Check price, features","Updated: 05 Nov 2024, 07:38 PM IST"
Maruti Suzuki e Vitara unveiled: All about company's first-ever electric vehicle,"Updated: 05 Nov 2024, 06:39 PM IST"
Royal Enfield Classic 650 unveiled at EICMA: Bookings open in the UK and Europe,"Updated: 05 Nov 2024, 05:42 PM IST"
Skoda Kylaq teaser reveals LED styling and premium design ahead of Indian launch,"Updated: 05 Nov 2024, 03:14 PM IST"
"Royal Enfield Flying Flea, company's first-ever EV unveiled","Updated: 04 Nov 2024, 10:45 PM IST"
2024 Maruti Suzuki Dzire to debut on Nov 11: All we know so far,"Updated: 04 Nov 2024, 08:36 PM IST"
Citroen unveils limited-edition Aircross Xplorer with enhanced features: Details,"Updated: 04 Nov 2024, 07:21 PM IST"
Royal Enfield's first electric motorcycle to be showcased today. All details,"Updated: 04 Nov 2024, 03:28 PM IST"
The man likely to lead the two Tata Motors companies,"Updated: 04 Nov 2024, 05:30 AM IST"
"Festive mood lifts automotive purchases in October, eases inventory pressure","Updated: 01 Nov 2024, 10:24 PM IST"
Suzuki to supply new BEV model to Toyota as both companies expand partnership,"Updated: 30 Oct 2024, 03:31 PM IST"
Maruti brightens Diwali for auto industry,"Updated: 29 Oct 2024, 10:36 PM IST"
Royal Enfield to unveil new Interceptor Bear 650 on Nov 5: What to expect,"Updated: 28 Oct 2024, 05:47 PM IST"
Mahindra XUV 3XO EV spy shots leaked: What all to expect,"Updated: 23 Oct 2024, 09:49 PM IST"
Maruti Suzuki Swift Blitz Edition launched in India with enhanced features,"Updated: 23 Oct 2024, 05:10 PM IST"
Mercedes-AMG G 63 launched in India at₹3.60 crore with mild-hybrid technology,"Updated: 22 Oct 2024, 07:24 PM IST"
"Ola Electric responds to CCPA, claims to resolve 10,644 customer complaints","Updated: 22 Oct 2024, 05:56 PM IST"
"Missed goals, stiff fines: Why carmakers' emissions data are under wraps","Updated: 22 Oct 2024, 05:15 AM IST"
"Toyota Rumion Festive Edition launched in India: Check price, features and more","Updated: 21 Oct 2024, 08:39 PM IST"
2025 Jeep Meridian launched in India with new design and updated feature,"Updated: 21 Oct 2024, 05:44 PM IST"
Electric motors are about to get a major upgrade thanks to Benjamin Franklin,"Updated: 19 Oct 2024, 07:38 AM IST"
"Flex-fuel vehicles are here. Well, almost.","Updated: 19 Oct 2024, 05:00 AM IST"
Bajaj Pulsar N125 showcased with bold aesthetics and exciting colour options,"Updated: 17 Oct 2024, 08:32 PM IST"
"Bajaj Auto sees two-wheeler growth at 5% for FY25, cautious about festive demand","Updated: 16 Oct 2024, 08:37 PM IST"
"Skoda Kylaq SUV leaks: Engine, design, safety features and everything you expect","Updated: 16 Oct 2024, 02:58 PM IST"
Royal Enfield set to unveil its first-ever electric motorcycle on November 4,"Updated: 15 Oct 2024, 10:41 PM IST"
Royal Enfield Interceptor Bear 650 leaks ahead of EICMA: What we know so far,"Updated: 15 Oct 2024, 06:03 PM IST"
"Global EV sales up 30.5% in September as China shines, Europe recuperates","Updated: 15 Oct 2024, 06:11 AM IST"
Maruti Suzuki Baleno Regal edition launched in India: Know what's new,"Updated: 14 Oct 2024, 08:01 PM IST"
"Raptee T 30 electric motorbike launched in India: Check price, features and more","Updated: 14 Oct 2024, 07:05 PM IST"
Bajaj Pulsar N125 teased ahead of October 16 launch: What all to expect,"Updated: 14 Oct 2024, 03:30 PM IST"
"Ola Electric kicks off 72-hour sale: Big discounts on S1 series, up to Rs…","Updated: 11 Oct 2024, 04:28 PM IST"
From Nano to Jaguar: 6 Key cars that marked Ratan Tata’s era at Tata Motors,"Updated: 10 Oct 2024, 06:42 PM IST"
"Mercedes-Benz E-Class LWB launched in India, starting at₹78.5 lakhs","Updated: 09 Oct 2024, 04:58 PM IST"
The end of EVs is here: Fact or fiction?,"Updated: 09 Oct 2024, 07:00 AM IST"
2024 Mercedes-Benz E-Class to launch tomorrow in India: What all to expect,"Updated: 08 Oct 2024, 10:15 PM IST"
"BYD to skip India's EV imports sops, not looking at making in India for now","Updated: 08 Oct 2024, 07:30 PM IST"
"BYD eMAX 7 MPV launched in India, starting at₹26.90 lakhs: All details","Updated: 08 Oct 2024, 02:53 PM IST"
Honda raced past Hero MotoCorp in September. Was it a flash in the pan?,"Updated: 07 Oct 2024, 07:00 PM IST"
4 Auto launches to watch out for this festive season: Check details,"Updated: 07 Oct 2024, 06:18 PM IST"
"Ather 450X and Apex get MASSIVE discounts up to₹2x,xxx: Offer details","Updated: 07 Oct 2024, 04:39 PM IST"
How hybrids are reshaping India's green auto market,"Updated: 06 Oct 2024, 05:24 PM IST"
Will new incentives smoothen the EV ride?,"Updated: 06 Oct 2024, 01:55 PM IST"
"Nissan eyes hybrids, CNG tech as it plans 'affordable' EV for India by 2026","Updated: 04 Oct 2024, 09:20 PM IST"
Tata Punch CAMO Edition returns with striking new look and features,"Updated: 04 Oct 2024, 06:09 PM IST"
Robotaxis can’t be a solo act,"Updated: 04 Oct 2024, 03:49 PM IST"
"2024 Nissan Magnite launched in India, priced at₹5.99 lakhs: Know what's new","Updated: 04 Oct 2024, 03:25 PM IST"
"Hyundai rolls out festive deals: MASSIVE discounts on Venue, Exter, i20 and more","Updated: 04 Oct 2024, 03:01 PM IST"
Jeep Compass Anniversary Edition launched in India with new cosmetic upgrades,"Updated: 03 Oct 2024, 07:39 PM IST"
"Volkswagen introduces new variants of the Virtus, starting at₹14.07 lakhs","Updated: 03 Oct 2024, 05:10 PM IST"
"Thar Roxx hits 176,000 bookings in first hour, set for Dussehra deliveries","Updated: 03 Oct 2024, 04:19 PM IST"
"2024 Kia Carnival MPV launched in India with bold looks, priced at₹63.90 lakh","Updated: 03 Oct 2024, 03:44 PM IST"
"2024 Kia EV9 launched in India, priced at₹1.30 Cr: Range, features and more","Updated: 03 Oct 2024, 02:43 PM IST"
"Kia EV9 to debut in India tomorrow: Expected price, range and more","Updated: 02 Oct 2024, 10:26 PM IST"
"Ola Electric kicks off 'BOSS' Sale with₹49,999 starting price for S1 range","Updated: 02 Oct 2024, 02:35 PM IST"
Ola Electric’s market share drops to 27% in September - Here are the 4 reasons,"Updated: 01 Oct 2024, 11:41 PM IST"
Festive season deals: Top 5 electric scooters you can buy online,"Updated: 01 Oct 2024, 08:46 PM IST"
Ford in talks with Tamil Nadu govt. for potential EV manufacturing in India,"Updated: 01 Oct 2024, 04:40 PM IST"
Early festival upset bodes ill for automobile sector,"Updated: 01 Oct 2024, 06:40 AM IST"
Upcoming Mahindra XUV e9 electric coupe SUV spotted! What to expect,"Updated: 30 Sep 2024, 09:32 PM IST"
"Rolls-Royce Cullinan Series II, the most luxurious SUV launched in India","Updated: 27 Sep 2024, 06:39 PM IST"
"Electric switch: Ola goes to multi-brand retailers, changing direct sales focus","Updated: 27 Sep 2024, 06:00 AM IST"
Flipkart Big Billion Days Sale 2024: Best deals and offers on two-wheelers,"Updated: 26 Sep 2024, 05:37 PM IST"
The Mahindra-Volkswagen deal: How they plan to do it,"Updated: 26 Sep 2024, 06:40 AM IST"
"Mahindra Thar Roxx 4x4 prices revealed, bookings open on October 3: Details","Updated: 25 Sep 2024, 07:55 PM IST"
Yamaha announces festive discounts on FZ motorcycles and Fi hybrid scooters,"Updated: 25 Sep 2024, 07:04 PM IST"
Nissan Magnite Facelift teased: SUV to debut globally with design tweaks,"Updated: 24 Sep 2024, 07:18 PM IST"
"Tata Nexon iCNG launched in India, starting at₹8.99 lakhs","Updated: 24 Sep 2024, 03:01 PM IST"
Sajjan Jindal's JSW is moving its mega EV bet to Maharashtra,"Updated: 24 Sep 2024, 06:00 AM IST"
Toyota sued in US over emissions cheating in forklift truck engines,"Updated: 23 Sep 2024, 10:03 PM IST"
5 Upcoming car launches to watch out this October 2024: Check details,"Updated: 24 Sep 2024, 04:37 PM IST"
General Motors to recall 4.5 lakh vehicles due to issue with warning lights,"Updated: 21 Sep 2024, 07:08 AM IST"
Limited-Edition Maruti Suzuki WagonR Waltz launched in India at₹5.65 lakh,"Updated: 20 Sep 2024, 05:29 PM IST"
2024 Mercedes E-Class LWB to launch on Oct 9: What all to expect,"Updated: 19 Sep 2024, 02:14 PM IST"
2024 Nissan Magnite Facelift launch scheduled for October 4: What to expect,"Updated: 19 Sep 2024, 12:48 PM IST"
Centre to 'tweak' localization rules under new EV subsidy scheme: Govt official,"Updated: 18 Sep 2024, 06:57 PM IST"
BYD takes control of Denza JV as Mercedes-Benz pulls out amid trade tensions,"Updated: 18 Sep 2024, 12:16 PM IST"
Honda pulls CB350 and related models for repairs due to THIS fault: Check detail,"Updated: 17 Sep 2024, 12:59 PM IST"
"Triumph Speed T4, neo-retro roadster launched in India, priced at₹2.17 lakhs","Updated: 17 Sep 2024, 01:12 PM IST"
Mercedes-Benz pushes ahead with India EV plans despite short-term bump,"Updated: 16 Sep 2024, 06:58 PM IST"
2024 TVS Apache RR 310 launched with performance upgrades and winglets,"Updated: 16 Sep 2024, 06:48 PM IST"
"Mercedes EQS 580 4Matic SUV launched in India, priced at₹1.41 crore","Updated: 16 Sep 2024, 06:36 PM IST"
Like Michael Kors in fashion? MG Select targets ‘accessible luxury’ car buyers,"Updated: 16 Sep 2024, 04:51 PM IST"
JSW MG Motor India to launch luxury car brand 'MG Select' by 2025,"Updated: 16 Sep 2024, 03:59 PM IST"
BMW launches Retail.NEXT for dealers in India,"Updated: 16 Sep 2024, 03:06 PM IST"
"Mahindra Veero LCV launched in India, starting at₹7.99 lakh: All details","Updated: 16 Sep 2024, 01:08 PM IST"
BMW faces €1 bn recall over braking system defect affecting 1.5 mn cars globally,"Updated: 16 Sep 2024, 10:53 AM IST"
"Yamaha R15M upgraded: Sleeker, smarter, and now with carbon fibre styling","Updated: 13 Sep 2024, 04:34 PM IST"
Revolt Motors teases new premium electric motorcycle launch: What all to expect,"Updated: 13 Sep 2024, 12:55 PM IST"
"Maruti Suzuki Swift CNG launched in India, starting at₹8.19 lakh","Updated: 12 Sep 2024, 03:10 PM IST"
TVS gears up for major launch; 2024 Apache RR 310 likely to debut soon,"Updated: 11 Sep 2024, 07:02 PM IST"
"MG Windsor EV launched in India at₹9.99 lakh: Range, features and more","Updated: 11 Sep 2024, 02:57 PM IST"
Automakers gear up for a crucial test of sentiment this festive season,"Updated: 11 Sep 2024, 07:00 AM IST"
"Tata Nexon, Harrier, Altroz and others receive a MASSIVE discount up to Rs.…","Updated: 10 Sep 2024, 11:09 PM IST"
Gadkari offers automakers a tip on how to boost sales by 18-20%,"Updated: 10 Sep 2024, 08:36 PM IST"
"After EVs, China seeks to dominate AI-powered autonomous driving","Updated: 10 Sep 2024, 07:46 PM IST"
"Small-town boom, first-time buyers driving Hyundai's SUV sales","Updated: 09 Sep 2024, 09:38 PM IST"
Tata Motors slashes SUV prices by up to₹2 Lakh to boost festive sales,"Updated: 09 Sep 2024, 08:53 PM IST"
"Hyundai Alcazar launched in India: Check price, features, design & other details","Updated: 09 Sep 2024, 02:22 PM IST"
Why car sales have hit a festive speed-breaker,"Updated: 09 Sep 2024, 06:30 AM IST"
Maruti Suzuki offers discounts of up to₹50K on different cars; check details,"Updated: 08 Sep 2024, 11:00 AM IST"
"Kia Seltos price hike: Select trims see up to₹8,000 increase","Updated: 06 Sep 2024, 05:44 PM IST"
"Gurugram University student kidnapped, ransomed, robbed; accused sell bike","Updated: 05 Sep 2024, 09:53 PM IST"
