headline,date
"Passenger vehicle wholesales up marginally at 3,93,238 units in Oct: SIAM","November 13, 2024 07:35 PM"
"Geopolitical factors like Red Sea crisis impacting volumes, says Hyundai India MD","November 12, 2024 08:31 PM"
Growth in rural market helps arrest decline in small car sales: Maruti Suzuki,"November 12, 2024 02:14 PM"
Brits can’t buy new Jaguars for over a year as brand goes electric,"November 12, 2024 02:03 PM"
"Hyundai India Q2 net profit falls 16% to Rs 1,375 crore","November 12, 2024 02:01 PM"
"Maruti Suzuki expects CNG-driven models to get a fillip from increasing gas stations, says official","November 11, 2024 09:01 PM"
2024 Maruti Suzuki Dzire launched at starting price of Rs 6.79 lakh. Check features,"November 11, 2024 03:12 PM"
Maruti Suzuki rolls out all-new Dzire at a starting price of Rs 6.79 lakh,"November 11, 2024 01:19 PM"
Hedge funds shorting Tesla just lost more than $5 billion,"November 11, 2024 01:15 PM"
Hope govt will consider incentives for electric PVs in fleet segment: Tata Motors Group CFO,"November 09, 2024 09:15 AM"
"Tamil Nadu facility to build both Tata Motors and JLR models, to start production by 2032: CFO Balaji","November 08, 2024 08:26 PM"
Mahindra & Mahindra to debut two new EVs on Nov 26. See photos,"November 08, 2024 05:53 PM"
"Despite XUV 4OO’s low volumes, our Born Electric models are a priority: Rajesh Jejurikar, ED & CEO, M&M Auto","November 07, 2024 07:49 PM"
"M&M facing high demand for Thar Roxx SUV, plans to ramp up production","November 07, 2024 02:30 PM"
Maruti Suzuki looks to enhance exports with upcoming new Dzire sedan,"November 06, 2024 10:37 PM"
India most promising growth market for Skoda: CEO Klaus Zellmer,"November 06, 2024 06:25 PM"
Skoda India rolls out its maiden sub-4 metre SUV Kylaq at Rs 7.89 lakh,"November 06, 2024 05:26 PM"
"Škoda Kylaq, Maruti Suzuki Dzire, Mahindra XEV 9e & BE 6e to fire up car market this month","November 05, 2024 02:16 PM"
Why sale of cheaper cars is on a downhill drive in India,"November 05, 2024 10:54 AM"
PB Balaji emerges as key figure in planned demerger of Tata Motors: Report,"November 04, 2024 09:47 AM"
Maruti Suzuki looks to cash in on 'few lakh marriages' in November to carry festive sales momentum,"November 03, 2024 01:26 PM"
"Maruti Suzuki reports highest ever sales in October at 2,06,434 units","November 01, 2024 03:07 PM"
"JSW MG Motor India sales up 31% at 7,045 units in October","November 01, 2024 03:04 PM"
"Hyundai Motor India sales up 2% at 70,078 units in October","November 01, 2024 03:00 PM"
"Ola Electric vehicle registrations up 74% at 41,605 units in October","November 01, 2024 01:58 PM"
"Royal Enfield bike sales up 31% at 110,574 units in October","November 01, 2024 01:35 PM"
"Mahindra records highest-ever monthly sales in October at 96,648 units","November 01, 2024 01:31 PM"
"Tata Motors total sales marginally down at 82,682 units in Oct","November 01, 2024 01:29 PM"
