headline,Date
BSNL Offers 3GB of Additional Data With Rs. 599 Prepaid Recharge Plan: Benefits,14-11-2024
BSNL Direct-to-Device Satellite Connectivity Launch Announced by DoT,13-11-2024
BSNL Launches Fibre-Based Intranet TV Service With Over 500 Live Channels in India,13-11-2024
Elon Musk's Starlink Working on Indian Security Clearance for Satellite Broadband,12-11-2024
"Reliance Jio True 5G Network Extends Battery Life by Up to 40 Percent, Claims Official",12-11-2024
Reliance Lobbies for Satellite Spectrum Auction in New Clash With Starlink,09-11-2024
"Reliance Jio IPO Said to Launch in 2025, Retail Unit Listing Slated for Much Later",04-11-2024
Apple to Invest Up to $1.5 Billion in Globalstar for Satellite Coverage Expansion,02-11-2024
"JioBharat Diwali Dhamaka Offer Drops Prices of JioBharat K1, JioBharat V2: Price, Benefits",26-10-2024
"Reliance Jio Diwali Dhamaka’ Offer With Free Vouchers Worth Rs. 3,350 Announced: Benefits",25-10-2024
BSNL Will Improve Quality of Services Instead of Raising Tariffs: CMD Robert Ravi,23-10-2024
"New Spoofed Calls Prevention System Blocked 1.35 Crore International Calls in 24 Hours, Says DoT",23-10-2024
"BSNL Rolls Out Spam Protection and Other New Services, Introduces New Logo Ahead of Commercial 4G Launch",22-10-2024
"Airtel, Reliance Jio 5G Speeds Decline Due to Network Congestion, Faster Adoption Rate: Report",22-10-2024
Nokia Said to Be in Talks With Bharti Airtel for Multi-Billion Dollar 5G Contract,17-10-2024
Government Says No Auction of Satellite Spectrum; Elon Musk Hails Decision,16-10-2024
"Vi Showcases Remote Healthcare, 5G, IoT and AI Solutions for Consumers at IMC 2024",15-10-2024
"IMC 2024: Over 950 Million Internet Users in India; 5G Coverage Expanded to All Districts, PM Modi Says",15-10-2024
"Fundraise Allowed Vodafone-Idea to Start Capex Cycle, Places Telco on Secure Footing: Kumar Mangalam Birla",15-10-2024
Ericsson Said to Have Bagged New 5G Contract from India's Bharti Airtel,14-10-2024
Reliance Jio Introduces New ISD Minute Pack Recharge Plans Starting at Rs. 39,11-10-2024
Bharti Airtel Reportedly in Negotiations to Acquire Loss-Making Tata Play DTH Business,08-10-2024
Bharti Airtel Pays $1 Billion to Partly Clear 2016 Spectrum Dues,01-10-2024
Airtel Introduces Network-Based AI-Powered Spam Detection Tool in India,25-09-2024
"Vodafone-Idea Concludes Network Equipment Deal With Nokia, Ericsson and Samsung Worth $3.6 Billion",
Supreme Court Rejects Telcos' Plea on AGR Dues Owed to Government,19-09-2024
Qualcomm's Antitrust Fine Confirmed by EU Court With Minor Reduction,19-09-2024
Reliance Jio Announces ‘Diwali Dhamaka’ Offer With 1 Year Complimentary AirFiber Subscription: Details,18-09-2024
Reliance Jio Outage: Network Restored After Several Users Report Issues Across India,17-09-2024
"Reliance Jio Introduces 8th Anniversary Recharge Plan Offers With Zomato Gold, OTT Subscriptions",05-09-2024
"Apple Set for Music, TV Streaming Fight in India After Airtel Deal",02-09-2024
"Reliance Announces JioTV OS With Hello Jio AI Assistant, JioHome App, JioTV+, JioPhonecall AI, and More",29-08-2024
Airtel Payments Bank Smartwatch With RuPay Chip Launched in India in Partnership With Noise and NPCI,28-08-2024
"Reliance Jio Raises Price of Prepaid Plans With Netflix Subscription: See New Prices, Benefits",28-08-2024
"Airtel to Shut Down Wynk Music App, Absorb All Employees",28-08-2024
"Airtel Announces Offers on Apple TV+ and Music for Mobile, Wi-Fi Subscribers in India",27-08-2024
"Reliance Jio Launches International Roaming Packs for UAE, Canada and Other Nations: Price, Benefits",23-08-2024
"Reliance Jio Launches Rs. 198 Plan With Unlimited 5G Data, Voice Calling and 14-Day Validity",21-08-2024
"JioTV+ App With Access to Over 800 Digital Channels Launched for Android TV, Apple TV and Amazon Fire OS Devices",20-08-2024
"TRAI Directs Indian Telcos to Stop Spam Calls, Blacklist Callers Using Blockchain Technology",14-08-2024
"BSNL Introduces 4G and 5G-Ready OTA, Universal SIM Platform in India for Better Service Quality",12-08-2024
Jio Revises Its Rs. 349 Prepaid Plan After Recent Price Hike; Improves Validity,22-07-2024
"Airtel Unlimited 5G Data Booster Packs Launched in India: Check Price, Validity",18-07-2024
"Vi RedX Rs. 1,201 Postpaid Family Plan Introduced; Benefits Include Swiggy One, Multiple OTT Subscriptions",08-07-2024
"Airtel Refutes Alleged Data Breach Claims, Says ‘Desperate Attempt to Tarnish’ Reputation",05-07-2024
"Vodafone Idea (Vi) Announces Increase in Prepaid, Postpaid Plan Prices From July 4 After Airtel, Jio Hike Tariffs",29-06-2024
"Jio Announces Price Hike for Prepaid, Postpaid Plans by Up to Rs. 600 Starting July 3",28-06-2024
"Airtel Price Hike for Prepaid Recharge Plans, Postpaid Plans Announced: New Tariffs Effective From July 3",28-06-2024
BSNL Reportedly Suffers Major Data Breach Affecting 278GB of User and Operational Data,26-06-2024
CNAP Caller ID Service Trials to Curb Spam Calls Rolled Out in Limited Form in India: Report,17-06-2024
"Airtel Launches T20 World Cup Plans With Free Disney+ Hotstar Subscription: Price, Validity",06-06-2024
"Vodafone Idea (Vi) Introduces Prepaid Plans With Free Netflix Subscription: See Price, Validity",30-05-2024
Vodafone India (Vi) Guarantee Programme Offers 130GB of Extra Data for Free to 4G and 5G Users: How to Claim,27-05-2024
Tata Play to Offer Amazon Prime Lite Subscription Bundled With DTH and New Binge Plans,14-05-2024
"Jio Introduces Rs. 888 ‘Ultimate Streaming Plan’, Offers 15+ OTT Subscriptions for JioFiber, AirFiber Postpaid Customers",13-05-2024
