headline,date
Google wants US judge's app store ruling put on hold,"October 12, 2024 05:28 PM"
"Reliance Jio announces new country-specific International packs starting at Rs 39: List of all the plans, countries and more","October 12, 2024 05:04 PM"
Apple iPhone 16 review: Makes you not want to go Pro,"October 12, 2024 03:02 PM"
"Happy Dussehra 2024: WhatsApp Stickers, GIFs, Instagram Stories, Facebook Status and more you can use to wish your friends and family","October 12, 2024 01:02 PM"
"Garena Free Fire MAX redeem codes for October 12, 2024: Get daily diamonds, skins, weapons and more","October 12, 2024 11:20 AM"
"How hackers are using 5,000 Microsoft emails to scam users","October 12, 2024 09:57 AM"
"â€˜You canâ€™t treat them likeâ€¦â€™Spotify HR head on why employees donâ€™t have to work from office,","October 12, 2024 07:53 AM"
"Honeywell launches Aviator Hi-Fi Speaker with lossless music support at Rs 39,999","October 11, 2024 09:01 PM"
Google wants to make your cooking easier and better with this new Search feature,"October 11, 2024 08:33 PM"
Zoomtopia 2024: Zoom unveils AI Companion 2.0 with enhanced contextual understanding and third-party apps and service integration,"October 11, 2024 06:54 PM"
This Russian antivirus software company exits UK; lays off all employees,"October 11, 2024 05:51 PM"
"YouTube defends ad changes: Skip button remains, new progress bar introduced","October 11, 2024 04:10 PM"
Elon Muskâ€™s X changes payment for Premium users; will now pay creators based on engagement,"October 11, 2024 03:02 PM"
Government issues important warning for Mozilla Firefox browser: All the details,"October 11, 2024 01:46 PM"
"Make PoS machines more accessible for persons with disabilities, RBI tells banks, fintechs","October 11, 2024 01:01 PM"
"Good Glamm Group puts three of its companies on sale to stay afloat; taps Mamaearth, Nykaa, Purplle, among others","October 11, 2024 02:43 PM"
How aggregator platforms are bringing the Ola-Uber model to inter-city bus travel,"October 11, 2024 12:05 PM"
Intel announces Core Ultra 200S series desktop processor with enhanced AI capabilities: All the details,"October 11, 2024 11:35 AM"
ByteDance's TikTok cuts hundreds of jobs in shift towards AI content moderation,"October 11, 2024 11:18 AM"
"Garena Free Fire MAX redeem codes for October 11, 2024: Win free gifts and rewards daily","October 11, 2024 10:53 AM"
TCS margins decline amid higher third-party costs as BSNL project peaks,"October 11, 2024 09:32 AM"
"Apple announces Swift Student Challenge 2025: Dates, participation details and more","October 10, 2024 10:44 PM"
"Amazon's new AI shopping feature will help you choose the right product: How it works, the features offered and more","October 10, 2024 08:46 PM"
"Apple iPad mini 7 to launch later this month: Expected date, features and everything else we know so far","October 11, 2024 03:30 PM"
TCS Q2 order book declines over 23% YoY to $8.6 billion,"October 10, 2024 06:47 PM"
"Telegram introduces Gifts, improved video calling, Verification platform and more","October 10, 2024 06:14 PM"
"Internet Archive faces major data breach, exposing 31 million accounts","October 10, 2024 05:48 PM"
"Apple Mac shipments drop 17.5% in Q3 2024, despite overall PC market growth","October 11, 2024 03:23 PM"
"Tata Sons to earn nearly Rs 2,600-crore income as TCS announces 2nd interim dividend for FY25","October 10, 2024 09:18 PM"
"Infosys inks deal with Zooplus for digital transformation, GCC","October 10, 2024 04:00 PM"
Google rolls out Imagen 3 AI-generating tool to Gemini and is available to all users,"October 11, 2024 11:08 AM"
Ratan Tata guided TCS through transformative global expansions: CEO K Krithivasan,"October 10, 2024 04:36 PM"
"Google is working on a tool to help you identify AI images: Feature details, how it works and more","October 10, 2024 02:51 PM"
OpenAI sees continued attempts by threat actors to use its models for election influence,"October 10, 2024 02:07 PM"
Google Docs gets this Microsoft Word feature for better document management,"October 10, 2024 01:42 PM"
Samsung to soon launch Galaxy A16 5G with IP54 rating and six OS updates,"October 10, 2024 02:37 PM"
His legacy will continue to inspire generations: IT and Tech honchos pay tribute to Ratan Tata,"October 11, 2024 03:26 PM"
"Garena Free Fire MAX redeem codes for October 10, 2024: Grab skins, bundles, diamonds, and more exciting rewards","October 10, 2024 09:24 AM"
People took us seriously once Ratan Tata came on board: Startup founders and investors pay tribute to the legend,"October 10, 2024 09:24 AM"
Boult launches  K10 and W10 true-wireless earbuds at an introductory starting price of Rs 799,"October 09, 2024 10:31 PM"
Azim Premji Foundation grants Rs 500 crore to CMC Vellore for medical collegeÂ in Chittoor,"October 09, 2024 09:09 PM"
"Meta's AI chatbot to be available in new markets including Brazil, UK","October 09, 2024 08:40 PM"
Apple introduces limited-edition Mental Health Day award for Apple Watch users: All the details,"October 09, 2024 08:19 PM"
Google introduces Fitbit Labs to offer better insights using AI: How it works and other details,"October 09, 2024 07:31 PM"
"Pine Labs' India business revenue rises 2.8% to Rs 1,317 crore in FY24, but losses surge threefold","October 09, 2024 06:56 PM"
"AI, Micro-Influencers lead to 40% boost in festive purchases, claimsÂ MetaÂ study","October 09, 2024 06:21 PM"
"MediaTek launches Dimensity 9400 flagship SoC with updated AI processing, power efficiency and more","October 09, 2024 05:27 PM"
Spotify is offering Premium subscription at Rs 15 per month for a limited time: How to get and other details,"October 09, 2024 04:33 PM"
iQoo 13 launch: This is when Vivo's sub-brand will launch its most powerful smartphone of 2024,"October 09, 2024 03:17 PM"
"Byjuâ€™s affiliate drained cash from US units, says lawsuit","October 09, 2024 01:50 PM"
"We donŌĆÖt believe in aggressive monetisation, says Google PayŌĆÖs Sharath Bulusu","October 09, 2024 01:53 PM"
"PlayStation announces Pulse Explore and Elite wireless gaming headsets: Price, features and more","October 09, 2024 01:13 PM"
"Why ex-Cognizant employees went to court: ŌĆ£Indian managers would turn their backŌĆØ, ŌĆ£Spoke Hindi sociallyŌĆØ, and more","October 09, 2024 02:03 PM"
Apple Watch Series 10 review: Worth your time and money,"October 09, 2024 12:34 PM"
TSMC's third-quarter revenue easily beats market forecast,"October 09, 2024 11:45 AM"
"IT Committee to take up discussions on impact of AI, social media regulation, fake news, OTT","October 09, 2024 11:35 AM"
"Samsung, Apple rule in $3-bn smartphone haul of 11-day festive sales","October 09, 2024 11:00 AM"
"Garena Free Fire MAX redeem codes for October 9, 2024: Get daily diamonds, skins, weapons and more┬Ā┬Ā","October 09, 2024 10:32 AM"
OpenAI fires back at Musk over ŌĆśaltruism versus greedŌĆÖ lawsuit,"October 09, 2024 09:55 AM"
US considers breakup of Google in landmark search case,"October 09, 2024 09:46 AM"
"SwiggyŌĆÖs Sriharsha Majety, others in top deck get $200 million in ESOPs ahead of IPO","October 09, 2024 09:44 AM"
"Brazil lifts ban on X as Elon Musk pays fine, complies with court orders","October 09, 2024 08:52 AM"
"Apple now considers these iPhone, iPad and MacBook, iPod models as obsolete or vintage products","October 09, 2024 07:02 AM"
"iPhone 17 Slim reportedly in development, could feature a new display technology: All the details","October 08, 2024 10:31 PM"
"Infosys expands pact with Old National Bank to accelerate its operational, technological transformation","October 08, 2024 09:45 PM"
"Xiaomi 15 Pro design, colours leaked ahead of October 23 launch: HereŌĆÖs what we know so far","October 09, 2024 12:42 PM"
Amazon launches NCERT Bookstore to make textbooks from Kindergarten to Class 12 available across the country,"October 08, 2024 06:38 PM"
"Vivo X200 Pro, X200 Pro Mini design, camera details, price leaked: All the details","October 08, 2024 05:23 PM"
"TCS Q2 Earnings Preview: Gen AI, hiring among top five themes to watch out for","October 08, 2024 06:06 PM"
Google explains why it is appealing the US Court's decision in Epic Games case,"October 08, 2024 04:11 PM"
"Scammers are using Shahrukh Khan, Alia Bhatt, Virat Kohli and 7 other celebrities for AI scams","October 09, 2024 02:12 PM"
US judge orders google to overhaul app store to more competition,"October 08, 2024 02:23 PM"
"Instagram goes down in India, users report login issues and more","October 08, 2024 02:08 PM"
iOS 18.2 update to bring new features to iPhone: HereŌĆÖs all we know so far,"October 08, 2024 01:34 PM"
"IndiaAI Mission: Govt relaxes norms for 10,000 GPU tender, to benefit smaller players","October 08, 2024 06:01 PM"
India‚Äôs smartwatch market sees a 32% drop YoY; Noise reclaims top position,"October 08, 2024 12:14 PM"
GCC industry seeks higher infra investment for success of 'Beyond Bengaluru‚Äô push,"October 08, 2024 02:36 PM"
Human-AI Collaboration: Imperative to strike the right balance between futurising and humanising,"October 08, 2024 11:39 AM"
"Government issues major security warning for Windows 11‚Äôs default web browser, here‚Äôs what you should do right now","October 08, 2024 11:32 AM"
"Garena Free Fire MAX redeem codes for October 8, 2024: Unlock exclusive rewards daily","October 08, 2024 10:26 AM"
"US court finds Cognizant guilty of discrimination against non-Indians, company to appeal","October 08, 2024 01:27 PM"
Google vs Epic Games: US court orders Google to open Android for third-party stores and more,"October 08, 2024 09:15 AM"
"MC Interview: Food delivery will have to change, 10-minute deliveries can be a gamechanger, says Zomato‚Äôs Deepinder Goyal","October 08, 2024 09:13 AM"
"Parineeti Chopra-backed Clensta in talks to raise $10 million from Amazon, others","October 10, 2024 01:55 PM"
"Swiggy IPO: Good for the sector to have multiple players, says Zomato‚Äôs Deepinder Goyal","October 08, 2024 08:30 AM"
OnePlus 13 teased with Apple's MagSafe-like wireless charging,"October 07, 2024 09:31 PM"
Edtech firm Unacademy promotes Arooshi Singh to Head of HR,"October 07, 2024 09:13 PM"
Google extends the duration of YouTube Shorts to 3 minutes,"October 07, 2024 07:04 PM"
Google Pixel Buds Pro 2 review: The best pair of earbuds Android users can buy,"October 07, 2024 06:50 PM"
Delete these fake trading apps from iPhone and Android smartphones to keep your hard-earned money safe,"October 07, 2024 06:06 PM"
Info Edge's recruitment billings rise over 14% to Rs 492 crore in Q2,"October 07, 2024 06:16 PM"
"Samsung Galaxy Watch Ultra review: Bigger, bolder, better","October 07, 2024 05:38 PM"
Want to¬†kill¬†grunt work with AI? Careful what you wish for,"October 07, 2024 05:23 PM"
Oura Ring 4 with 8-day battery life and multiple health tracking features launched,"October 07, 2024 04:37 PM"
Doubling down on a competitive advantage,"October 07, 2024 03:51 PM"
"Apple likely to announce MacBook Pro M4, iPad mini 7 and more next month: Here's all that we know so far","October 07, 2024 03:13 PM"
"Amazon merges miniTV, MX Player into Amazon MX Player to firm up streaming space presence","October 07, 2024 02:52 PM"
Apple Intelligence roll out: This is when AI features may come to iPhones,"October 07, 2024 01:59 PM"
"Tech firms, startups back on talent hunt after mass layoffs, hiring freeze for months","October 07, 2024 01:44 PM"
"Meta AI: How to use it to generate images, WhatsApp stickers and more on Facebook, Instagram and web","October 07, 2024 04:31 PM"
"Garena Free Fire Max Redeem Codes: Prizes and more for October 7, 2024","October 07, 2024 11:34 AM"
Google starts rolling out new theft protection features for Android phones,"October 07, 2024 09:17 AM"
Google's Hema Budaraju shares why India is crucial to the future of AI innovation in search,"October 07, 2024 06:29 AM"
"Boult launches Q and Boost headphones: Price in India, features, and more","October 09, 2024 02:21 PM"
"Facebook Messenger update: Communities, AI Comment summaries, Memories and more","October 06, 2024 04:07 PM"
Apple may launch its most affordable iPhone early next year: What to expect,"October 06, 2024 01:58 PM"
The dark side of technology: AI-driven cyberattacks call for upgraded security measures,"October 06, 2024 01:50 PM"
"Samsung Galaxy S24FE now available for purchase: Price in India, free storage upgrade, features and more","October 06, 2024 12:03 PM"
"Garena Free Fire MAX redeem codes for October 6, 2024: Claim to win freebies like pets, diamonds, gold, and more","October 06, 2024 10:29 AM"
â€˜Steve showed us that â€¦â€™: Apple CEO remembers Steve Jobs on his 13th death anniversary,"October 06, 2024 10:43 AM"
Google brings new AI-powered feature in Gmail for iPhone users,"October 05, 2024 09:54 PM"
