Headline,Date
Rupee turns flat at 84.42 against US dollar amid volatile crude prices,Updated On :21 Nov 2024 | 10:09 AMIST
Exports not adversely impacted by rupee exchange rate policy: RBI Bulletin,Updated On :21 Nov 2024 | 9:40 AMIST
No evidence of exchange rate policy hurting exports: RBI report,Updated On :20 Nov 2024 | 10:47 PMIST
Rupee depreciates to new low of 84.42 per dollar amid geopolitical tensions,Updated On :19 Nov 2024 | 7:16 PMIST
Rupee flat at 84.43 against USD; low crude price negates dollar strength,Updated On :19 Nov 2024 | 4:39 PMIST
Rupee rises 2 paise to 84.40 against US dollar during early trade,Updated On :19 Nov 2024 | 9:57 AMIST
Rupee gains 8 paise to 84.38 against US dollar amid crude price support,Updated On :18 Nov 2024 | 10:40 AMIST
BS Poll: Rupee may depreciate to 84.5 against US dollar by end of December,Updated On :17 Nov 2024 | 11:09 PMISTPremium
"Rupee settles at new low of 84.41 as US dollar strengthens, FII outflows",Updated On :14 Nov 2024 | 9:42 PMIST
"Market sets exchange rate, RBI acts to curb undue volatility: Governor Das",Updated On :14 Nov 2024 | 7:20 PMIST
Rupee stumbles 1 paisa to all-time low of 84.40 against US dollar,Updated On :14 Nov 2024 | 12:55 PMIST
Rupee falls to all-time low of 84.40 against US dollar in early trade,Updated On :13 Nov 2024 | 11:07 AMIST
Rupee hits new intraday low of 84.40 against US dollar on FPI selling,Updated On :12 Nov 2024 | 11:34 PMIST
Rupee falls 2 paise to all-time low of 84.40 against dollar in early trade,Updated On :12 Nov 2024 | 10:46 AMIST
"Rupee may depreciate 8-10% against dollar during Trump 2.0, says SBI report",Updated On :11 Nov 2024 | 7:52 PMIST
Rupee falls 1 paisa to all-time low of 84.38 against dollar in early trade,Updated On :11 Nov 2024 | 10:01 AMIST
RBI ready to weaken rupee in line with yuan after Donald Trump win,Updated On :11 Nov 2024 | 9:00 AMIST
"Rupee hits another low on rise in crude oil prices, equity selloff",Updated On :08 Nov 2024 | 12:05 AMIST
Indian rupee drops to all-time low of 84.28 on bullish dollar outlook,Updated On :07 Nov 2024 | 11:20 AMIST
"Trump win-fuelled rally in dollar, US fed rates to keep rupee under strain",Updated On :07 Nov 2024 | 11:09 AMIST
"Rupee hits record low as US election news boosts dollar, RBI steps in",Updated On :06 Nov 2024 | 10:59 AMIST
"Rupee recovers from all-time low, rises 2 paise against US dollar",Updated On :05 Nov 2024 | 9:39 PMIST
Rupee down 2 paise at all-time low of 84.13 against US dollar on FDI exodus,Updated On :05 Nov 2024 | 10:39 AMIST
Rupee falls to new low on FPI selloff and rise in crude oil prices,Updated On :04 Nov 2024 | 10:52 PMIST
Rupee's stability provides resilience amid uncertainty of US elections,Updated On :04 Nov 2024 | 1:01 PMIST
RBI's routine interventions to halt major movements in Rupee: Poll,Updated On :01 Nov 2024 | 9:57 AMIST
Rupee falls to new intra-day low of Rs 84.11 as FPIs sell equities,Updated On :31 Oct 2024 | 8:37 PMIST
"Rupee opens on flat note, rises 1 paisa to 84.07 against US dollar in trade",Updated On :31 Oct 2024 | 10:00 AMIST
Rupee depreciates 2 paise to 84.07 against US dollar in early trade,Updated On :30 Oct 2024 | 10:06 AMIST
Rupee opens on flat note at 84.08 against US dollar during early trade,Updated On :29 Oct 2024 | 10:45 AMIST
Rupee holds steady as exporters delay dollar hedging amid volatility,Updated On :28 Oct 2024 | 12:10 PMIST
Rupee hovers close to all-time low as equities remain under pressure,Updated On :25 Oct 2024 | 12:17 PMIST
Rupee turns flat at 84.07 against US dollar on foreign fund outflow,Updated On :25 Oct 2024 | 9:38 AMIST
Rupee turns flat at 84.07 against US dollar on foreign fund outflow,Updated On :24 Oct 2024 | 9:46 AMIST
Rupee trades 1 paisa higher at 84.07 against US dollar amid weak equities,Updated On :23 Oct 2024 | 10:11 AMIST
Rupee weakens to settle at new closing low as US dollar strengthens,Updated On :22 Oct 2024 | 8:26 PMIST
Rupee turns flat at 84.07 against US dollar on foreign fund outflow,Updated On :22 Oct 2024 | 10:38 AMIST
