headline,Date
"Coal imports for non-regulated sectors decline 9.83%, savings of ₹13,629 crore recorded",2024-11-21
Wealthy nations pledge 'no new coal' at COP29,2024-11-20
Delhi Pollution: Coal plants' target miss to add to the deadly smog,2024-11-20
Centre gives finishing touches to key rail line projects linked to ports in southern states,2024-11-19
"Steel companies may see hiked demand, better margins in Q3FY25: Centrum report",2024-11-19
"Vedanta group to increase production across segments, says Anil Agarwal",2024-11-18
Coal India Limited chairman Prasad reviews mining operations of WCL,2024-11-18
Coal India arm NCL plans to relocate township in MP having 600 MT of mineable coal underneath,2024-11-18
Govt plans to auction offshore mineral blocks in 2-3 months: G Kishan Reddy,2024-11-16
"Coal ministry reviews 127 blocks, reports 33% increase in production",2024-11-15
India signs MoU with IEA for cooperation on critical minerals,2024-11-14
Lohum appoints Arun Mittal as CEO to lead India operations,2024-11-13
"India saves ₹12,929 cr on coal imports as domestic production rises by 5.79%",2024-11-13
Ambuja Cements seeks CCI nod to acquire majority stake in Orient Cement,2024-11-12
Coal import up 8% to 140.6 MT in April-Sept,2024-11-11
"Govt gets Rs 3,449 cr from HZL OFS",2024-11-11
Cabinet to soon take call on revised Jharia Master Plan,2024-11-11
"India’s captive and commercial coal output surpasses 100 MT, achieved 100 days earlier",2024-11-11
"Govt cancels JSW Steel’s coal block agreement, forfeits Rs 100 cr guarantee for non-compliance",2024-11-09
ArcelorMittal net income falls 69 pc to USD 287 mn in Sep qtr,2024-11-08
"Vedanta swings to black, posts Q2 net profit of Rs 4,352 cr",2024-11-08
"Prolonged Chinese imports may hit Indian steel industry's investments, Tata Steel CEO says",2024-11-08
Coal ministry launches online module for mine opening permissions,2024-11-08
"Mines ministry wraps up tranche IV auction, 8 critical mineral blocks awarded",2024-11-07
Tata Steel reports Rs 759 crore net profit in Jul-Sep,2024-11-07
"Govt to sell 2.5 pc in HZL at floor price of Rs 505/share, aims to raise over Rs 5,000 cr",2024-11-06
"CIL should prioritise augmenting coal production, supplies to reduce import: Minister",2024-11-06
CBI conducts searches at 16 locations in Jharkhand illegal mining scam case,2024-11-06
Rajasthan govt imposes penalty of Rs 38 crore on charges of illegal mining,2024-11-06
"BJP seeking to plunder Jharkhand's mineral resources, no intention of people's welfare: Kharge",2024-11-06
"CIL should prioritise augmenting coal production, supplies to reduce import: Minister",2024-11-05
"Govt infuses Rs 1,650 cr in RINL to keep it as a going concern",2024-11-04
