headline,Date
Oil prices firm as geopolitical tensions raise supply concerns,2024-11-21
"India’s oil demand to rise 4.5% in November, boosted by festive sales, agriculture",2024-11-21
"Vedanta Aluminium, GAIL ink pact to supply natural gas for cleaner production",2024-11-21
Oil & Gas sector embraces AI and data to enhance efficiency and sustainability,2024-11-20
"TotalEnergies, Oil India to collaborate on methane emissions detection",2024-11-20
"Oil nudges up on escalating Ukraine war, signs of improving China demand",2024-11-20
India eyes Andaman basin as potential 'New Mumbai High' in energy exploration push,2024-11-19
"Oil slips on Sverdrup field restart, geopolitical fears support",2024-11-19
Corporate Infotech bags 7 year contract from ONGC for IT infra services,2024-11-19
Festive season drives India’s petroleum demand by 8% in october,2024-11-19
India looks to revolutionise maritime sector by 2047 with Rs 80 Lakh crore investment: Sonowal,2024-11-19
"Oil prices ease, but caution prevails over Russia-Ukraine war",2024-11-19
"PSU OMCs report 5.5% growth in LPG sales, expand coverage to over 32 crore domestic consumers",2024-11-19
Oil prices tick higher as Russia-Ukraine tensions escalate,2024-11-18
India’s Russian crude imports to remain steady despite Trump’s return: Report,2024-11-18
"In Ratnagiri, refinery project a poll issue for its opponents and supporters",2024-11-18
Oil prices edge higher after Russia-Ukraine tensions escalate,2024-11-18
Oil ministry checkmates CNG operators on price hike,2024-11-18
"India's petroleum imports rise 7.7% in FY25, domestic crude production declines",2024-11-18
"Oil settles down 2% on weaker Chinese demand, uncertainty over Fed rate cut",2024-11-16
"India aims for 16% sedimentary basin exploration by 2025, targets 1 mn sq km by 2030: Puri",2024-11-16
Global crude oil demand growth to slow as China’s consumption wanes: Icra,2024-11-16
"Oil dips on oversupply concerns, heads for weekly loss",2024-11-15
GAIL inks 10-year LNG supply deal with ADNOC Gas,2024-11-15
"India looks to increased oil production from US, Canada to stabilise markets: Puri",2024-11-15
Oil prices broadly flat after falling on dollar surge,2024-11-14
"revalyu Resources commissions second PET recycling plant in Nashik, plans major expansion",2024-11-14
"Oil prices edge down, forecasts for higher oil output, weak demand growth weigh",2024-11-14
Oil prices hold near 2-week low on gloomy demand outlook,2024-11-13
Arvindar Singh Sahney appointed as new chairman of Indian Oil Corporation,2024-11-13
Oil trims losses on tight near-term supply,2024-11-13
About 12 injured in explosion in Mathura refinery,2024-11-13
US oil industry urges Trump to ditch Biden climate policies,2024-11-13
"Global carbon emissions hit 41.6 billion tonnes, India’s share grows 4.6%",2024-11-13
"India’s crude imports at 4.5 mb/d, product exports surge 30% in September: OPEC",2024-11-13
"India saves ₹91,000 crore through biofuel blending, aims for 20% target by 2024: Petroleum Minister Puri",2024-11-13
"PM Modi to launch ₹4,027 cr clean fuel, infrastructure projects in Bihar",2024-11-13
"Oil prices steady ahead of OPEC report, China stimulus limit gains",2024-11-12
"One killed, two injured in blast at IOCL refinery in Gujarat's Vadodara",2024-11-12
Oil prices hold their ground after falling on China stimulus,2024-11-12
"PM Modi, Russian Deputy PM discuss strengthening trade, energy ties",2024-11-12
"ONGC Q2 profit up 17.1% to ₹11,984 crore; dividend set at ₹6 per share",2024-11-11
"Oil falls as China stimulus fails to boost sentiment, US dollar strength",2024-11-11
INOX bags contract to build Bahamas’ first mini LNG terminal for cruise ship power,2024-11-11
Russian oil finds its way to Europe via India; India now biggest exporter of fuel to EU,2024-11-11
"CAQM reviews GRAP implementation, calls for strict action against violators in Delhi",2024-11-11
"Oil settles down 2% on receding hurricane risk, lackluster China stimulus",2024-11-09
Oil prices fall more than 1% as Hurricane Rafael risk recedes,2024-11-08
&quot;India did everybody a favour!&quot;: Hardeep Singh Puri explains India's stance to buy Russian oil,2024-11-08
Oil prices fall as Hurricane Rafael expected to start weakening,2024-11-08
"US container industry braces for new tariffs, policy shifts amid Trump’s expected White House return",2024-11-08
Oil prices regain ground as investors eye U.S. election fallout,2024-11-07
Oil falls after Trump election as US president sends dollar higher,2024-11-06
US crude exports to Asia set to rise amid intensifying OPEC rivalry: S&P Global,2024-11-06
IGX gas trade volume up 160% MoM in October to 8 million MMBtu,2024-11-06
"White collar hiring grows 10% in Oct led by oil & gas, pharma, FMCG: Report",2024-11-06
"GAIL's revenue hits Rs 66,622 cr in H1 FY25, profit after tax climbs to Rs 5,396 crore",2024-11-05
Canada proposes emissions cap on oil and gas sector,2024-11-05
"Brent crude expected to trade in $75-80 range amid oversupply, weak demand: Report",2024-11-05
Cairn Oil & Gas first in India to join UNEP methane reduction initiative,2024-11-05
"Oil gains 3% after OPEC+ delays output hike, US election in focus",2024-11-04
Oil gains more than $1 after OPEC+ delays output hike,2024-11-04
US election outcome could shape OPEC+ policies as oil market watches closely,2024-11-04
Canada to unveil long-awaited plan for emissions cap on oil and gas sector,2024-11-04
ONGC draws a blank on offer of stake in Deen Dayal gas field,2024-11-04
"India’s fuel consumption rises in October; Petrol demand up 8.3%, diesel steady",2024-11-04
"Venezuela's oil exports hit a 4-year peak on higher output, sales to US, India",2024-11-02
"Russia's Oct pipeline gas exports to Europe up 2.5% y/y, calculations show",2024-11-02
"Harris claims she is not against gas drilling, but campaign member says she won't expand fossil fuel",2024-11-02
"ATF price hiked 3 pc, commercial LPG up INR 62 per cylinder",2024-11-02
"Petrol, jet fuel, LPG sales surge as economy picks up pace",2024-11-02
"Oil prices settle up slightly on Iran worries, but prices down for week",2024-11-02
"COP29 at risk from graft, fossil fuel interests: report",2024-11-01
Energy giant Shell reports drop in third-quarter net profit,2024-11-01
