headline,Date
"Adani Group rejects $250 million bribery allegations, terms charges &quot;baseless&quot;",2024-11-21
Adani Energy Solutions signs pact to acquire 100 pc stake in Pune- III Transmission,2024-11-21
Sterlite Power completes Goa-Tamnar Transmission Project,2024-11-21
"THDCIL says one of 4 units of 1,000-MW hydro power plant in Uttarakhand to start ops in a week",2024-11-20
Energy management systems can save 5-7% energy: Experts at ET Energyworld SmartEnergy Summit,2024-11-20
"EV industry seeks GST cuts on batteries, charging services to boost affordability",2024-11-20
"PG Electroplast, Spiro join hands for EV production",2024-11-20
"India should secure supply chains for nuclear fuel, MEA Special Secretary",2024-11-20
REC hands over HVDC transmission project SPV to Power Grid Corporation,2024-11-20
"India targets 30% EV sales by 2030, pushes for infrastructure expansion",2024-11-19
Trump to push self-driving vehicles in boost to Tesla,2024-11-19
"PURE EV partners with Arva Electric for electric two-wheeler sales in Middle East, Africa",2024-11-19
"NTPC pays ₹2,424 crore as first interim dividend for FY25",2024-11-18
"UltraTech Cement to deploy 100 EV trucks, targets 500 by 2025",2024-11-18
Installation of FGD technology can cut SO2 emissions by 67 pc at Delhi-area power plants: Study,2024-11-18
Bengal thermal power plants emit 18 times more air pollution than stubble burning: report,2024-11-18
"Telangana announces 100% exemption on road tax, registration fees for electric vehicles",2024-11-18
Lithium-ion battery demand in India to grow to 127 gigawatt hour by FY30,2024-11-18
"Venture debt funding propels Indian fintech, EV startups: Report",2024-11-16
India facilitates first trilateral power transfer from Nepal to Bangladesh via Indian grid,2024-11-16
RECPDCL hands over Odisha power transmission project SPV to Tata Power,2024-11-15
Union minister Pralhad Joshi launches battery vehicles at Jagannath Temple; discusses RE sector challenges,2024-11-15
"BluSmart achieves 77% GMV growth in first half of FY25, driven by strong customer growth in premium services",2024-11-14
India set to become 'major producer' of electric vehicles like China: Mark Mobius,2024-11-14
"NCRTC begins power supply to Anand Vihar, New Ashok Nagar Namo Bharat stations",2024-11-14
Thermax beats Q2 profit view on steady demand for industrial products,2024-11-14
Torrent Power profit dips nearly 9 pc to Rs 495 cr in Jul-Sept,2024-11-14
"Power ministry likely to roll out ₹1,000 cr interest subvention scheme for energy efficiency in MSMEs",2024-11-13
Azad Engineering inks Rs 340 crore deal with Arabelle Solutions France,2024-11-13
"Kalpataru Projects bags new orders worth ₹2,273 crore",2024-11-13
"IMF raises concerns on Pakistan again, flags solarisation, power demand challenges",2024-11-13
J-K's hydel power potential hindered by Indus Water Treaty: CM Omar Abdullah,2024-11-13
"India asks states to consider setting up nuclear power plants, list power utilities",2024-11-13
"Centre suggests states to list power firms, tackle rising AT&C losses",2024-11-12
BHEL to set up NTPC's Telangana super critical thermal power plant,2024-11-12
"L&T Energy bags NTPC orders for thermal power plants in Madhya Pradesh, Bihar",2024-11-12
Power Grid acquires transmission project in Rajasthan,2024-11-12
"Flipkart deployed over 10,000 electric vehicles in delivery fleet",2024-11-12
Will unveil EV policy to curb pollution: CM,2024-11-12
"Kerala to set up 2,000 EV charging stations by 2030 in partnership with ESYGO",2024-11-12
"Sugs Lloyd bags ₹300 crore govt projects in Bihar, plans IPO for expansion",2024-11-12
"Sterlite Power bags ₹1,200 cr orders in Q2, key demand in conductors, cables",2024-11-11
Honda's new electric vehicle is quietly creeping up on Tesla,2024-11-11
"5,000 E-cars for govt sector: Union minister Manohar Lal launches CESL's 'EV as a Service' programme",2024-11-11
Adani Power cuts Bangladesh supply by over 60% on payment dispute,2024-11-08
"BJP alleges irregularities in two discoms, AAP hits back",2024-11-08
Tata Power acquires Paradeep Transmission for Rs 18.64 crore,2024-11-08
"Punjab raises Shanan project, other issues with Union Minister Manohar Lal Khattar",2024-11-08
"Skoda plans to launch updated electric vehicle in India in 2025, says Brand Director Petr Janeba",2024-11-08
"MGL, IBC US sign pact to set up Li-ion battery cell manufacturing facility in India",2024-11-08
"Centre, Himachal discuss 4,300 MW pump storage projects to boost hydro power",2024-11-08
"Reliance Power arm Rosa Power prepays Rs 485 cr debt, becomes zero-debt firm",2024-11-07
"India's power transmission sector set for 5X growth, ₹10 lakh crore investment by 2032",2024-11-07
B'desh wanted more electricity from Tripura as it supplies 50-80 MW daily,2024-11-06
Short-term power market grows 12% to 218 BU in FY24; renewable energy powers 32.5% of India’s grid,2024-11-06
"Global EV charging market to hit $164 bn by 2030, India’s growth rate at 16%: Report",2024-11-06
"India in talks with Gulf, Asia nations for cross-border power grid links under OSOWOG",2024-11-06
"IEX achieves 9,642 MU electricity trade in October, REC trading surges 105% YoY",2024-11-05
"India’s power demand rebounds with 0.4% growth in October, driven by post-monsoon industrial uptick",2024-11-04
India to revamp power demand forecasting for better planning,2024-11-04
Japan's Onagawa nuclear power plant halts operations for inspection,2024-11-04
India's Adani slashes electricity to Bangladesh: power officials,2024-11-04
TN advances towards vision of distributed growth with slew of projects,2024-11-04
Electric two-wheeler sales grew 85 per cent in October,2024-11-04
Adani reduces power supply to Bangladesh by half over outstanding bills: Report,2024-11-02
Union Home Minister Amit Shah inaugurates Gujarat's largest waste-to-energy plant in Ahmedabad,2024-11-02
Asia to spend over USD 20bn on EVs: Report,2024-11-02
US regulators reject amended interconnect agreement for Amazon data center,2024-11-02
Germany to bury nuclear waste but toxic dispute unresolved,2024-11-01
Hyundai Motor unveils new hydrogen-based EV concept,2024-11-01
"Two Adani firms sign pacts with MSEDCL to supply 6,500 MW power",2024-10-31
"Tata Power net profit rises nearly 8 pc to Rs 1,093 cr in Q2",2024-10-31
"L&T secures major transmission orders in Kenya, Saudi Arabia, and Qatar to expand energy infrastructure",2024-10-30
"Tata, JSW groups to invest over $30 billion in EV sector amid govt's push: Report",2024-10-30
Suzuki's Indian unit to supply first EV to Toyota,2024-10-30
China says does not 'agree with or accept' extra EU tariffs on EVs,2024-10-30
"Schneider Electric unveils smart circuit breaker for real-time energy tracking, safety boost",2024-10-30
Adani Power's consolidated power sale volume in first half of FY25 up by over 29%,2024-10-28
Concerns on overinvestment in Power sector without puchase agreements: Aequitas,2024-10-28
Indonesia bets on SE Asia's first battery plant to become EV hub,2024-10-28
"Electricity connectivity restored in Odisha except Bhadrak district after Cyclone Dana, says Chief Secy Mano..",2024-10-28
CPI(M-L) Liberation threatens Bihar bandh over smart electricity meters,2024-10-28
Fire breaks out in DTC Electric Bus near Dhaula Kuan,2024-10-28
Kenyan court suspends $736 million Adani power line deal,2024-10-26
NLC India Q2 profit drops 9.5 pc to Rs 982 cr,2024-10-26
IndiGrid net jumps nearly 154 pc to Rs 98 cr in Q2,2024-10-26
L&T wins major order from ITER for advanced nuclear fusion project in France,2024-10-25
Battery recycling industry faces risks due to underpriced recycling system: Experts,2024-10-25
"NTPC Q2 Results: Net profit grows 14% to Rs 5,380 crore",2024-10-25
Schneider Electric partners with Noida International Airport to implement advanced energy management solutio..,2024-10-25
Rajesh Power Services files draft papers with BSE SME to raise funds via IPO,2024-10-24
Kataria Industries acquires Ratlam Wires' wire manufacturing business,2024-10-24
"Tesla reports higher profits on lower costs, increased sales",2024-10-24
China carmakers to double manufacturing capacity abroad to beat tariffs,2024-10-24
GE Vernova posts higher Q3 revenue on power demand growth,2024-10-24
EV maker Atul Greentech inks battery supply pact with Exide Energy Solutions,2024-10-23
Karnataka's Charge Towards Electric Mobility,2024-10-22
"Power Grid board approves raising up to Rs 5,000 cr via bonds",2024-10-22
Adani Energy Solutions reports 172 pc jump in net profit in Q2 FY25,2024-10-22
ADB commits USD 241 mn loan to improve power distribution in West Bengal,2024-10-22
"Ola Electric says 10,644 complaints received from CCPA, 99.1 pc resolved",2024-10-22
Six overburden processing plants at various stages of installation: Govt,2024-10-22
India’s Electric Mobility Leap: A Quest for Atmanirbhar Bharat by 2047,2024-10-22
"Work on 10 more nuclear reactors underway in country, parliamentary panel told",2024-10-22
BRS opposes proposal to hike power tariff in Telangana,2024-10-22
"Former UP minister's son, SP leader booked for power theft",2024-10-22
