headline,Date
Hyundai Motor India to procure 118-MW clean energy from Fourth Partner Energy,2024-11-21
India’s skilling ecosystem can support green hydrogen economies,2024-11-21
"REPLUS Engitech, Green Power Monitor sign pact for AI-led energy management systems",2024-11-21
Explained: SEC alleges Adani Green and Azure Power involved in bribery scheme,2024-11-21
"India adds 16.4 GW solar capacity in 9M 2024, a 167% surge YoY",2024-11-21
India drops two places but remains among top 10 climate performers: Report,2024-11-21
Atishi launches Delhi solar portal; will help power consumers become 'prosumers',2024-11-21
UP to showcase solar energy-powered Jal Jeevan Mission projects at regional conference,2024-11-21
"Rahul Gandhi demands Adani's immediate arrest, probe against Sebi chief",2024-11-21
ReNew Q2 Results: Net profit jumps 31% YoY to Rs 494 crore,2024-11-21
Rajasthan to soon come out with Clean Energy Policy 2024,2024-11-21
"Billionaire Gautam Adani Charged in US with bribery, fraud",2024-11-21
"Global floating solar capacity to reach 77GWdc by 2033, Asia-Pacific leads market",2024-11-21
SECI signs MoU with H2Global to boost green hydrogen initiatives,2024-11-20
States directed not to levy free power on pumped storage projects: Power ministry,2024-11-20
"ETSES: Digital technology and data key to renewable energy growth, say Experts",2024-11-20
China finalises stricter investment guidelines for solar manufacturing,2024-11-20
India's 500 GW renewable energy goal spurs call for advanced cybersecurity measures,2024-11-20
India to add over 35 GW renewable capacity annually by 2026: CareEdge,2024-11-20
"Integrating renewables with conventional systems needs quality assurance, workforce focus: Experts at SmartE..",2024-11-20
NTPC focusing on mega projects in quest for 60 GW solar dream,2024-11-20
Why being climate ‘positive’ is the buzzy new goal of green building,2024-11-20
"India, Australia launch renewable energy partnership",2024-11-20
Skills shortage hobbles India's clean energy aspirations,2024-11-20
"India advocates for equitable climate action, calls for free flow of technology and finance",2024-11-20
"Solar energy key to energy transition, says Union minister at CoP29",2024-11-20
"Tata Power, Druk Green ink pact to develop 5,000 MW clean energy in Bhutan",2024-11-20
NTPC Green Energy's ₹10000 cr IPO: Anchor investors pump ₹3960 cr at upper price band,2024-11-19
AMPIN Energy Transition expands partnership with Copenhagen Infrastructure Partners,2024-11-19
India’s renewable energy capacity likely to touch 250 GW by March 2026: Icra,2024-11-19
"Satvik Green Energy files draft papers to raise Rs 1,150 crore via IPO",2024-11-19
"Delhi minister writes to Centre, requests NOC for cloud seeding",2024-11-19
"Adani Group to invest about USD 35 bn to set up solar, wind, hybrid plants in 5 years: Sagar Adani",2024-11-19
"NGEL, OGL incorporate JV company to work in RE sector",2024-11-19
"India calls for equity and climate finance at CoP29, urges developed nations to lead",2024-11-19
"Just transitions must reflect climate justice, India tells CoP29",2024-11-19
"Waaree Energies strengthens renewable push with ₹6,000 crore investment, 20GW order book",2024-11-19
NTPC to set up 1 tonne per day green hydrogen plant using seawater,2024-11-19
EKI secures grant from Bill & Melinda Gates Foundation for Surya Nutan project,2024-11-18
North India facing medical emergency due to stubble burning: Atishi,2024-11-18
North India facing medical emergency due to stubble burning: Atishi,2024-11-18
Aditya Ultra Steel to set up 5 MW solar plant; posts Rs 5.87cr profit for Apr-Sept,2024-11-18
Solar industry urges govt for mgf status to panel production,2024-11-18
"Sheo MLA, villagers continue to protest solar company’s project",2024-11-18
COP29: India expresses dissatisfaction with developed countries over climate finance,2024-11-18
Odisha delegation embarks on first day of Singapore visit to attract global investments,2024-11-18
"ACME Sun Power secures Rs 3,753-cr term loan from REC",2024-11-18
Climate change responsible for 19 pc of rising dengue cases: Study,2024-11-18
"Delhi's AQI crosses 'Severe+' Mark, GRAP Stage-IV measures to be imposed from Monday to curb Pollution",2024-11-18
‘Gujarat aims to become global RE innovation hub’,2024-11-16
"SECI invites bids for 400 MWp solar module with cell manufacturing, supply project",2024-11-16
"JV of green arms of India's NTPC-ONGC is highest bidder for Ayana Renewable at $650 mln, sources say",2024-11-16
Task force to be set up to achieve 500 GW renewable energy capacity by 2030: Union Minister Pralhad Joshi,2024-11-16
PM Modi to Inaugurate India’s largest green hydrogen hub in Andhra Pradesh,2024-11-16
Urgent push needed for long-duration energy storage to meet global climate goals: Report,2024-11-16
Delhi pollution worsens: GRAP stage-III restrictions imposed across NCR,2024-11-15
"Masdar, ACWA Power, SOCAR Green sign MoU for 3.5GW offshore wind projects in Azerbaijan",2024-11-15
India's top clean energy agency weighs criminal proceedings against Reliance Power,2024-11-14
'Chintan Shivir' in Odisha to understand and develop strategies to achieve renewable energy target: Union Mi..,2024-11-14
"Adani Group pledges $10 billion investment in US energy security, infra projects",2024-11-14
