headline,date
Core sector growth rebounds to 2% in September,"October 30, 2024 05:08 PM"
Why stagnant domestic natural gas production could be a challenge for India?,"October 22, 2024 05:17 PM"
LNG's 20-year greenhouse gas footprint found to be 30% more than coal's: Study,"October 04, 2024 03:34 PM"
Geopolitical rivalries are changing global natural gas industry dynamics,"September 19, 2024 08:40 AM"
"India has ambitions to export Green Hydrogen, invest heavily in R&D, says Centre","September 11, 2024 04:45 PM"
Are rising natural gas prices a bullish signal?,"September 10, 2024 08:58 AM"
Gujarat PSUs to unlock value through amalgamation,"September 03, 2024 09:44 AM"
GAIL looking to set up 'world-scale' greenfield ethane cracker,"August 28, 2024 02:03 PM"
"Global natural gas supply under threat from war, geopolitics","August 13, 2024 09:15 AM"
Why is natural gas consumption in India likely to decline in coming months?,"July 17, 2024 06:33 PM"
India’s natural gas consumption rises 7% YoY in June amid higher demand,"July 16, 2024 07:56 PM"
Exclusive| PNGRB seeks plan from IGX to deal with possible default by parties in its long-term contracts,"July 05, 2024 04:36 PM"
"Amid limited revenue options, states may resist fuel inclusion in GST","June 24, 2024 08:26 PM"
"Natural gas under GST could improve tax inefficiencies, say brokerages; GAIL, Mahanagar Gas to benefit","June 07, 2024 10:17 AM"
A ray of hope for gas-based power plants,"May 13, 2024 09:53 AM"
LNG spot prices have fallen. What does it mean for India?,"May 03, 2024 06:27 PM"
Mahanagar Gas expects to spend Rs 950 crore in FY25: MD Ashu Shinghal,"March 27, 2024 03:02 PM"
"Exclusive: PNGRB advocating reasonable returns for CGD cos, concerned over extra profits","March 06, 2024 09:24 PM"
"BPCL, HPCL, Oil India bag license for building gas infra in J&amp;K, Northeast","March 04, 2024 08:06 PM"
"India sees $4.95 billion investment for natural gas network in Kashmir, northeast","March 04, 2024 07:16 PM"
Govt raises domestic natural gas prices to $8.17 per mmBtu for March,"February 29, 2024 02:00 PM"
Live: Natural gas production in US at near record levels | Commodities Corner,"February 21, 2024 01:15 PM"
Blasts hit a natural gas pipeline in Iran and an official says it was an act of sabotage,"February 14, 2024 04:28 PM"
GAIL signs long-term LNG purchase agreement with ADNOC Gas,"January 29, 2024 09:28 PM"
"PLNG Q3 results: Net profit marginally increases to Rs 1,190 crore","January 29, 2024 05:53 PM"
"GAIL Q3 results: Consolidated net profit up multi-fold to Rs 3,193 crore","January 29, 2024 03:24 PM"
"Lower global gas prices to benefit distributors, importers: Experts","January 24, 2024 06:30 PM"
IGX awaits regulatory nod for introducing ssLNG contracts: CEO Mediratta,"December 20, 2023 07:20 PM"
Commodity Wrap: US natural gas slides 10% on demand slump,"December 12, 2023 09:43 AM"
Govt lowers domestic natural gas prices to $8.47 per mmBtu for December,"December 01, 2023 09:19 AM"
"India looking to build strategic reserves by storing gas in depleted wells, says GAIL executive","November 24, 2023 03:13 PM"
IEA - fossil fuel will peak by 2030,"October 31, 2023 09:44 AM"
Qatar’s geopolitical clout on display even as global gas investments decline   ,"October 30, 2023 11:24 AM"
Is natural gas about to become a buyer’s market?,"October 26, 2023 02:48 PM"
Domestic crude oil production stays steady at 2.4 MMT in Sept,"October 23, 2023 10:43 AM"
Natural gas prices will be impacted if Middle East conflict spreads: Experts,"October 19, 2023 10:47 AM"
"NSE to launch options on WTI crude, natural gas futures contracts from October 9","October 06, 2023 12:43 PM"
UAE energy giant awards $17 billion gas expansion contracts,"October 05, 2023 05:53 PM"
