headline,date
"Crude extends drop with Brent near $74 as concerns ease, demand outlook falls","October 15, 2024 03:43 PM"
"OPEC cuts 2024, 2025 global oil demand growth view again","October 14, 2024 05:18 PM"
"What does Middle East tension, oil price spike mean for India's macro economy?","October 02, 2024 02:53 PM"
"World Street | OPEC demand surge forecast; Smartsheet buyout, Visa lawsuit, Mark Zuckerberg’s wealth rise, Murdoch family feud, and more","September 25, 2024 07:46 AM"
OPEC+ Faces a New Problem: A Texas gas pipeline,"September 17, 2024 01:13 PM"
Oil prices rebound on fears of supply disruption from tropical storm,"September 11, 2024 07:01 AM"
Big oil’s buyback bonanza for investors has a sustainability issue,"September 10, 2024 11:45 AM"
OPEC+ delays oil output hike kicking the can down a very uphill road,"September 06, 2024 11:34 AM"
"World Street | Bluesky's flight, China's weak PMI data, EV maker BYD's shopping and more","September 02, 2024 07:47 AM"
OPEC trims oil demand forecast ahead of decision on supply boost,"August 12, 2024 06:20 PM"
Oil hovers at 8-month lows as US recession fears offset Mideast tensions,"August 05, 2024 06:57 AM"
What Opec’s next big goal should be,"August 01, 2024 11:22 AM"
Oil prices rise on fears of wider Middle East conflict after rocket strike in Golan Heights,"July 29, 2024 06:18 AM"
Oil edges up on strong US GDP data but Asia economic woes limit gains,"July 26, 2024 06:33 AM"
"Oil prices ease on concerns over weak China demand, Middle east ceasefire talks","July 25, 2024 07:17 AM"
"Oil prices fall on predictions of swelling crude inventories, weak demand","July 23, 2024 06:39 AM"
Oil prices rise as investors look for signs US rate cuts to begin,"July 22, 2024 06:41 AM"
"Oil drops on weak sentiment, set for weekly decline","July 19, 2024 07:23 AM"
Oil prices rise on bigger-than-expected drop in US crude stocks,"July 18, 2024 07:06 AM"
Oil prices steady as slowing demand offsets tightening supply,"July 17, 2024 06:38 AM"
Oil extends losses as dollar strengthens following Donald Trump attack,"July 15, 2024 07:24 AM"
"Oil rises on cooling US inflation, strong summer demand","July 12, 2024 06:42 AM"
"Oil prices tick up as crude, gasoline inventories ease","July 11, 2024 06:24 AM"
"Oil rebounds as US stockpiles drop, interest rate cut outlook brightens","July 10, 2024 06:49 AM"
"Oil prices little changed, concerns about damage from hurricane ease","July 09, 2024 07:16 AM"
Oil little changed as investors eye impact of storm Beryl on Texas,"July 08, 2024 06:55 AM"
Oil prices on track for fourth straight week of gains,"July 05, 2024 09:06 AM"
Oil prices slip after data points to cooling US economy,"July 04, 2024 06:27 AM"
Why are oil prices high despite OPEC deciding to phase out supply cuts?,"July 02, 2024 11:09 AM"
Oil prices edge higher as supply risks mount,"June 28, 2024 06:47 AM"
Oil prices slide on fears of slow US demand after surprise inventory build,"June 27, 2024 06:34 AM"
"Oil prices steady as markets weigh supply tensions, China economic recovery","June 25, 2024 06:31 AM"
Oil extends losses as strong dollar weighs on commodities markets,"June 24, 2024 06:44 AM"
Oil prices slip as rate hike worries come into focus,"June 21, 2024 06:33 AM"
"Brent rises on Middle East war, while WTI dips ahead of inventories report","June 20, 2024 06:29 AM"
Oil inches up as war jitters outweigh surprise build in US crude stocks,"June 19, 2024 06:28 AM"
"Oil up on firming demand, Mideast tensions underpin risk premium","June 18, 2024 06:38 AM"
"Oil slips on US growth worries, ample crude supply","June 13, 2024 06:33 AM"
Oil prices edge up on optimistic demand outlook,"June 12, 2024 06:14 AM"
OPEC forecasts global oil demand to grow by 2.3 million bpd in second half of 2024,"June 11, 2024 08:36 PM"
Two oil deals lay bare the OPEC+ problem,"June 11, 2024 04:01 PM"
Oil slips on dollar's strength from US jobs data,"June 10, 2024 06:33 AM"
How did crude oil prices move after OPEC+ decided to phase out supply cuts?,"June 07, 2024 05:06 PM"
OPEC + Extends Production Cuts: Market dynamics and future of oil prices,"June 07, 2024 12:15 PM"
"Oil prices climb as OPEC+ reassures markets, ECB cuts interest rate","June 07, 2024 06:47 AM"
Oil rises on strengthening Fed rate cut expectations,"June 06, 2024 07:04 AM"
Oil prices extend losses on worries of supply rising later in 2024,"June 04, 2024 06:12 AM"
OPEC+ says goodbye to its $100-a-barrel oil quest,"June 03, 2024 02:08 PM"
Oil prices slip despite OPEC+ production cut extension,"June 03, 2024 06:30 AM"
OPEC+ agrees to extend output cuts to buttress oil prices,"June 02, 2024 07:59 PM"
What to expect from the June 2 OPEC+ meet on output policy,"May 31, 2024 10:59 AM"
"Oil falls as Fed policymakers look to maintain rate cuts, gasoline stocks rise","May 31, 2024 06:32 AM"
"Oil price rises ahead of OPEC meet, but can the rally be sustained?","May 30, 2024 08:52 AM"
Oil prices down on demand woes as markets await US crude stockpiles data,"May 30, 2024 06:33 AM"
Oil rises as major producers expected to keep output cuts in place,"May 29, 2024 06:35 AM"
"Oil prices steady as investors await inflation data, OPEC+ meeting","May 28, 2024 06:49 AM"
Oil prices little changed as markets look to OPEC+ meeting,"May 27, 2024 06:45 AM"
Oil prices fall on worries of higher US interest rates,"May 23, 2024 06:21 AM"
Oil slips for third session on likely 'higher for longer' US rates,"May 22, 2024 06:43 AM"
Oil prices fall on fear of high US interest rates depressing demand,"May 21, 2024 07:00 AM"
Oil prices climb amid uncertainty over Iran president's fate,"May 20, 2024 07:35 AM"
Oil gains 1% on hopes of firmer demand,"May 18, 2024 07:19 AM"
Oil set for weekly gain on signs of improving demand,"May 17, 2024 06:57 AM"
"Oil prices rise on moderate US inflation data, strong demand","May 16, 2024 06:21 AM"
"IEA slashes oil-demand projection citing poor industrial activity, weather patterns","May 15, 2024 01:59 PM"
"Oil prices up on wildfires in Canada, US inventories drawdown expectations","May 15, 2024 06:33 AM"
"OPEC keeps global oil demand forecast unchanged, expects growth of 2.2M bpd for 2024","May 14, 2024 08:02 PM"
Oil prices tick up on tighter supply outlook,"May 14, 2024 06:44 AM"
"Oil extends decline on signs of weak fuel demand, strong dollar","May 13, 2024 06:33 AM"
"Oil prices up on stronger Chinese data, Middle East conflict","May 10, 2024 06:14 AM"
"Oil rises on US crude storage draw, Fed rate cut hopes","May 09, 2024 06:37 AM"
"Oil edges up after Israel strikes Gaza, while truce talks continue","May 07, 2024 06:24 AM"
Oil nudges higher after Saudi Arabia hikes prices,"May 06, 2024 07:27 AM"
Oil prices pick up on prospect of US replenishing strategic reserve,"May 02, 2024 06:46 AM"
Oil falls for a third day as US crude inventories swell,"May 01, 2024 06:35 AM"
"Oil dips as investors eye Israel-Gaza truce talks, US Fed policy review","April 30, 2024 06:34 AM"
Oil prices pare gains on US inflation concerns,"April 29, 2024 06:20 AM"
Oil prices rise as US official eases market concerns over economic headwinds,"April 26, 2024 06:28 AM"
Oil prices inch up after data shows unexpected drop in US crude stocks,"April 24, 2024 07:06 AM"
"Oil rises in early Asian trading, Middle East tensions remain in focus","April 23, 2024 06:42 AM"
"Oil prices retreat as US crude build, rate cut concerns come to the fore","April 22, 2024 06:39 AM"
"India discussed oil market volatility with OPEC chief, government says","April 19, 2024 08:43 PM"
"Russia squeezes Mideast, OPEC shares in India's oil market to historic lows","April 19, 2024 11:37 AM"
Oil prices jump $3/bbl on unconfirmed reports of explosions in Iran,"April 19, 2024 06:39 AM"
Oil inches up after US reimposes Venezuela oil sanctions,"April 18, 2024 06:38 AM"
Oil prices dip as demand concerns outweigh Middle East supply fears,"April 17, 2024 07:00 AM"
"Oil prices rise on solid China growth, Middle East tensions","April 16, 2024 11:00 AM"
Oil prices rise as Israel weighs response to Iran attack,"April 16, 2024 06:32 AM"
What’s next for oil? analysts weigh in after Iran’s attack,"April 15, 2024 11:47 AM"
Oil prices fall after Iran attack as market draws down risk premium,"April 15, 2024 06:45 AM"
